SUBID,LONGITUDE,LATITUDE
8801544,-22.5854,65.771
8801548,-24.472,65.5149
8000005,9.3096,59.1909
8115258,8.7466,59.1359
8115717,9.2398,58.9271
8000008,9.4109,59.1348
8102609,9.1371,58.9647
8103951,9.0461,59.1257
8000007,9.2676,59.1174
8000006,9.4933,59.1314
8205398,30.6925,69.1937
8205496,30.6671,69.4485
8205854,31.0975,69.6457
8201551,31.0528,69.58
8205660,30.9691,69.2953
8205577,31.1347,69.4703
8205884,31.288,69.5393
8801550,-23.4217,66.1897
8210493,33.1381,66.1063
8201950,33.5619,66.0935
8000473,33.3346,66.1632
8210176,33.6584,66.2222
8202592,42.1574,66.477
8000018,34.3101,64.3213
8200211,33.3113,64.2191
8200275,33.9339,64.3503
8200309,35.9175,63.2161
8200349,35.2675,63.7407
8203965,34.9351,63.1553
8204020,34.7604,63.1198
8204793,35.7493,63.6229
8204812,34.5437,63.3485
8207657,33.3476,63.9827
8207767,31.8351,63.0309
8208362,34.2535,64.487
8208448,33.247,63.3582
8208577,32.2998,63.0248
8208864,33.9921,64.4797
8209108,32.3914,63.0622
8209235,34.9392,63.4324
8209383,34.8385,63.6778
8209465,34.8916,63.6637
8209668,33.2627,64.0674
8209724,34.4236,63.6238
8210020,34.8642,63.5375
8210244,32.6718,63.652
8210364,34.8743,63.3769
8210448,34.9498,63.2223
8210546,32.7545,63.5803
8210645,34.7049,63.4775
8210693,31.9595,63.6211
8210842,33.406,64.4163
8210853,34.4613,63.7018
8210856,34.32,63.7107
8210928,33.6259,64.1053
8210947,34.2867,63.1239
8210959,33.051,64.4534
8210985,34.7079,63.8202
8211025,33.6453,63.0715
8211077,33.3568,63.8144
8211101,33.4688,63.747
8211117,34.4301,63.5132
8211126,32.8531,63.8939
8211158,32.8582,64.4035
8211385,32.4034,63.3967
8211389,34.2538,63.7957
8211404,33.6774,63.7278
8211411,34.8917,63.7876
8211446,31.9129,63.3257
8211508,33.7529,63.4272
8211550,33.1011,63.4836
8211552,34.2221,63.2884
8211560,33.0735,63.4714
8211563,33.8352,63.7635
8211597,34.3446,63.601
8211649,32.862,63.1818
8211662,34.5615,64.2315
8211752,32.9224,64.1266
8211758,32.1573,63.2056
8211787,34.4255,63.9642
8211850,32.6117,62.7847
8211874,32.5123,63.8498
8211914,33.1336,63.4112
8211949,31.6601,63.2054
8212275,33.4568,63.0628
8212307,34.1974,63.4912
8212364,33.6415,63.4033
8212382,33.6655,63.1642
8212423,32.8541,63.4871
8212473,32.9506,63.8088
8212475,33.5734,63.5
8212502,33.9483,63.3634
8212570,32.152,63.1228
8212671,34.4557,64.0583
8212674,34.329,64.0917
8212919,31.6488,63.0771
8213831,36.5364,62.644
8213855,35.167,63.5633
8213860,36.2351,62.9701
8213873,35.143,63.1832
8213875,35.0197,63.6573
8213880,35.5679,63.6316
8213932,36.2946,63.1036
8214027,34.2913,63.3817
8214080,34.466,63.2316
8214134,34.7397,63.34
8214214,36.441,62.8887
8214235,34.9579,63.3288
8214320,36.1159,62.7334
8214358,35.8698,63.488
8214398,32.2931,62.9483
8214401,34.5852,63.4076
8214634,32.6091,62.9193
8214707,32.3075,63.2584
8214831,32.0319,63.0443
8214936,32.7461,62.9568
8215007,32.3393,62.9388
8215024,32.092,62.9962
8301465,33.8101,62.9879
8320338,33.7959,62.8861
8210402,32.7035,63.9294
8214503,32.5468,62.7585
8204847,35.3111,63.0744
8212161,34.6103,63.3025
8212126,33.1452,63.6595
8212485,31.8139,63.2503
8212063,31.9959,62.9501
8208967,32.2054,63.0941
8211429,32.4254,63.5698
8301699,33.4099,62.9721
