,mean,median,year,week
2001-01-05,0.039373353,0.0,2001,1
2001-01-13,0.38061807,0.43,2001,2
2001-01-21,0.34198487,0.38,2001,3
2001-01-29,0.3220443,0.35,2001,5
2001-02-06,0.3549538,0.4,2001,6
2001-02-14,0.26283064,0.27,2001,7
2001-02-22,0.28235447,0.29,2001,8
2001-03-02,0.4419037,0.47,2001,9
2001-03-10,0.39481455,0.41,2001,10
2001-03-18,0.46528447,0.49,2001,11
2001-03-26,0.44484952,0.46,2001,13
2001-04-03,0.54025966,0.57,2001,14
2001-04-11,0.598812,0.63,2001,15
2001-04-19,0.6250937,0.66,2001,16
2001-04-27,0.47022143,0.49,2001,17
2001-05-05,0.49649683,0.52,2001,18
2001-05-13,0.32277623,0.3,2001,19
2001-05-21,0.51338005,0.53,2001,21
2001-05-29,0.17664401,0.16,2001,22
2001-06-06,0.42551643,0.43,2001,23
2001-06-14,0.52328503,0.55,2001,24
2001-06-22,0.0,0.0,2001,25
2001-06-30,0.60394275,0.63,2001,26
2001-07-08,0.5498802,0.59,2001,27
2001-07-16,0.7360553,0.79,2001,29
2001-07-24,0.5951379,0.64,2001,30
2001-08-01,0.519074,0.55,2001,31
2001-08-09,0.6983395,0.74,2001,32
2001-08-17,0.57876813,0.62,2001,33
2001-08-25,0.4370819,0.47,2001,34
2001-09-02,0.6234721,0.66,2001,35
2001-09-10,0.6696427,0.7,2001,37
2001-09-18,0.61401695,0.63,2001,38
2001-09-26,0.561152,0.58,2001,39
2001-10-04,0.48919612,0.5,2001,40
2001-10-12,0.33160904,0.33,2001,41
2001-10-20,0.4184484,0.43,2001,42
2001-10-28,0.54199374,0.57,2001,43
2001-11-05,0.58399814,0.61,2001,45
2001-11-13,0.70697504,0.74,2001,46
2001-11-21,0.5500634,0.57,2001,47
2001-11-29,0.43443406,0.45,2001,48
2001-12-07,0.4249485,0.44,2001,49
2001-12-15,0.504077,0.52,2001,50
2001-12-23,0.41518843,0.43,2001,51
2001-12-31,0.1773578,0.14,2001,1
2002-01-08,0.33707035,0.33,2002,2
2002-01-16,0.26450598,0.24,2002,3
2002-01-24,0.25879225,0.26,2002,4
2002-02-01,0.28257984,0.28,2002,5
2002-02-09,0.20071642,0.19,2002,6
2002-02-17,0.15948753,0.15,2002,7
2002-02-25,0.36573783,0.37,2002,9
2002-03-05,0.32653576,0.33,2002,10
2002-03-13,0.3158877,0.32,2002,11
2002-03-21,0.40953308,0.41,2002,12
2002-03-29,0.30344576,0.3,2002,13
2002-04-06,0.30073953,0.3,2002,14
