,mean,median,year,week
2001-01-05,0.010645469,0.0,2001,1
2001-01-13,0.2067691,0.0,2001,2
2001-01-21,0.26731333,0.0,2001,3
2001-01-29,0.24083601,0.2,2001,5
2001-02-06,0.1934167,0.15,2001,6
2001-02-14,0.14934145,0.11,2001,7
2001-02-22,0.122318685,0.06,2001,8
2001-03-02,0.32130995,0.38,2001,9
2001-03-10,0.2742515,0.29,2001,10
2001-03-18,0.30398715,0.35,2001,11
2001-03-26,0.29099324,0.31,2001,13
2001-04-03,0.4360391,0.49,2001,14
2001-04-11,0.38849235,0.39,2001,15
2001-04-19,0.48792782,0.55,2001,16
2001-04-27,0.4383125,0.48,2001,17
2001-05-05,0.3282506,0.34,2001,18
2001-05-13,0.39170894,0.43,2001,19
2001-05-21,0.5037859,0.56,2001,21
2001-05-29,0.23076813,0.23,2001,22
2001-06-06,0.4328582,0.44,2001,23
2001-06-14,0.5193092,0.54,2001,24
2001-06-22,0.0,0.0,2001,25
2001-06-30,0.66326785,0.71,2001,26
2001-07-08,0.60618675,0.65,2001,27
2001-07-16,0.7522473,0.82,2001,29
2001-07-24,0.5836072,0.62,2001,30
2001-08-01,0.58118373,0.62,2001,31
2001-08-09,0.6834155,0.74,2001,32
2001-08-17,0.5403215,0.58,2001,33
2001-08-25,0.4082553,0.43,2001,34
2001-09-02,0.5073562,0.54,2001,35
2001-09-10,0.5710182,0.6,2001,37
2001-09-18,0.607336,0.63,2001,38
2001-09-26,0.50052994,0.52,2001,39
2001-10-04,0.5195951,0.53,2001,40
2001-10-12,0.33610338,0.35,2001,41
2001-10-20,0.32900444,0.32,2001,42
2001-10-28,0.4271776,0.45,2001,43
2001-11-05,0.39580327,0.41,2001,45
2001-11-13,0.5827283,0.66,2001,46
2001-11-21,0.40358105,0.45,2001,47
2001-11-29,0.30354056,0.32,2001,48
2001-12-07,0.29455164,0.3,2001,49
2001-12-15,0.4349065,0.5,2001,50
2001-12-23,0.2541348,0.0,2001,51
2001-12-31,0.12019531,0.0,2001,1
2002-01-08,0.15041801,0.0,2002,2
2002-01-16,0.18465047,0.23,2002,3
2002-01-24,0.18731928,0.15,2002,4
2002-02-01,0.22763486,0.12,2002,5
2002-02-09,0.13651183,0.12,2002,6
2002-02-17,0.13374896,0.12,2002,7
2002-02-25,0.2884209,0.32,2002,9
2002-03-05,0.2658473,0.28,2002,10
2002-03-13,0.22964153,0.24,2002,11
2002-03-21,0.33015603,0.37,2002,12
2002-03-29,0.2527367,0.26,2002,13
2002-04-06,0.2487329,0.25,2002,14
2002-04-14,0.33570445,0.37,2002,15
2002-04-22,0.43126,0.48,2002,17
2002-04-30,0.3129546,0.33,2002,18
2002-05-08,0.37744793,0.4,2002,19
2002-05-16,0.36995712,0.39,2002,20
2002-05-24,0.5078933,0.56,2002,21
2002-06-01,0.45324162,0.49,2002,22
2002-06-09,0.41413242,0.44,2002,23
2002-06-17,0.41259018,0.44,2002,25
2002-06-25,0.44540787,0.48,2002,26
2002-07-03,0.71093965,0.76,2002,27
2002-07-11,0.6034488,0.64,2002,28
2002-07-19,0.59585804,0.63,2002,29
2002-07-27,0.6537573,0.69,2002,30
2002-08-04,0.6481684,0.69,2002,31
2002-08-12,0.78838634,0.84,2002,33
2002-08-20,0.5879362,0.63,2002,34
2002-08-28,0.7712456,0.83,2002,35
2002-09-05,0.7314993,0.79,2002,36
2002-09-13,0.81324404,0.87,2002,37
2002-09-21,0.64064777,0.68,2002,38
2002-09-29,0.6613005,0.7,2002,39
2002-10-07,0.53246754,0.56,2002,41
2002-10-15,0.451728,0.49,2002,42
2002-10-23,0.5123282,0.57,2002,43
2002-10-31,0.39872572,0.43,2002,44
2002-11-08,0.33131596,0.35,2002,45
2002-11-16,0.34244016,0.42,2002,46
2002-11-24,0.21297845,0.22,2002,47
2002-12-02,0.1750137,0.14,2002,49
2002-12-10,0.24209957,0.21,2002,50
2002-12-18,0.22524475,0.08,2002,51
2002-12-26,0.17812552,0.1,2002,52
2003-01-03,0.20088841,0.0,2003,1
2003-01-11,0.25853994,0.0,2003,2
2003-01-19,0.2997356,0.34,2003,3
2003-01-27,0.23789924,0.25,2003,5
2003-02-04,0.23909253,0.27,2003,6
2003-02-12,0.30278313,0.39,2003,7
2003-02-20,0.2712004,0.33,2003,8
2003-02-28,0.1734691,0.18,2003,9
2003-03-08,0.090029776,0.06,2003,10
2003-03-16,0.28025725,0.33,2003,11
2003-03-24,0.16319996,0.16,2003,13
2003-04-01,0.27295583,0.28,2003,14
2003-04-09,0.36733833,0.39,2003,15
2003-04-17,0.3011361,0.32,2003,16
2003-04-25,0.29201856,0.3,2003,17
2003-05-03,0.17954865,0.15,2003,18
2003-05-11,0.33992976,0.3,2003,19
2003-05-19,0.3345159,0.29,2003,21
2003-05-27,0.38230085,0.39,2003,22
2003-06-04,0.3436751,0.38,2003,23
2003-06-12,0.2526569,0.26,2003,24
2003-06-20,0.22559366,0.2,2003,25
2003-06-28,0.31235918,0.31,2003,26
2003-07-06,0.17691436,0.15,2003,27
2003-07-14,0.13462904,0.1,2003,29
2003-07-22,0.21317376,0.18,2003,30
2003-07-30,0.2297106,0.21,2003,31
2003-08-07,0.13794214,0.11,2003,32
2003-08-15,0.16190305,0.13,2003,33
2003-08-23,0.20753245,0.19,2003,34
2003-08-31,0.34043705,0.34,2003,35
2003-09-08,0.31233653,0.3,2003,37
2003-09-16,0.25532928,0.22,2003,38
2003-09-24,0.26078835,0.25,2003,39
2003-10-02,0.56387997,0.59,2003,40
2003-10-10,0.33537453,0.34,2003,41
2003-10-18,0.5674062,0.6,2003,42
2003-10-26,0.51391923,0.62,2003,43
2003-11-03,0.30664882,0.34,2003,45
2003-11-11,0.32972252,0.41,2003,46
2003-11-19,0.15373705,0.14,2003,47
2003-11-27,0.13640109,0.11,2003,48
2003-12-05,0.21540907,0.24,2003,49
2003-12-13,0.09195425,0.02,2003,50
2003-12-21,0.19936524,0.0,2003,51
2003-12-29,0.0,0.0,2003,1
2004-01-06,0.011075384,0.0,2004,2
2004-01-14,0.11263189,0.0,2004,3
2004-01-22,0.24513993,0.0,2004,4
2004-01-30,0.27234605,0.0,2004,5
2004-02-07,0.105702035,0.05,2004,6
2004-02-15,0.18552695,0.2,2004,7
2004-02-23,0.33356085,0.47,2004,9
2004-03-02,0.29909137,0.36,2004,10
2004-03-10,0.23792186,0.29,2004,11
2004-03-18,0.18537097,0.2,2004,12
2004-03-26,0.25561628,0.28,2004,13
2004-04-03,0.30220914,0.33,2004,14
2004-04-11,0.3470561,0.37,2004,15
2004-04-19,0.40925327,0.47,2004,17
2004-04-27,0.38763845,0.43,2004,18
2004-05-05,0.44774207,0.51,2004,19
2004-05-13,0.43801,0.5,2004,20
2004-05-21,0.29489103,0.31,2004,21
2004-05-29,0.38780874,0.4,2004,22
2004-06-06,0.26678696,0.26,2004,23
2004-06-14,0.2504275,0.25,2004,25
2004-06-22,0.34142432,0.35,2004,26
2004-06-30,0.32872456,0.33,2004,27
2004-07-08,0.37925926,0.39,2004,28
2004-07-16,0.4766905,0.49,2004,29
2004-07-24,0.36182684,0.37,2004,30
2004-08-01,0.38815412,0.39,2004,31
2004-08-09,0.6121484,0.64,2004,33
2004-08-17,0.532389,0.56,2004,34
2004-08-25,0.60078955,0.63,2004,35
2004-09-02,0.5955496,0.63,2004,36
2004-09-10,0.47038823,0.49,2004,37
2004-09-18,0.59013695,0.63,2004,38
2004-09-26,0.4238978,0.44,2004,39
2004-10-04,0.4071716,0.41,2004,41
2004-10-12,0.3944111,0.41,2004,42
2004-10-20,0.5525437,0.6,2004,43
2004-10-28,0.44033942,0.47,2004,44
2004-11-05,0.36115873,0.39,2004,45
2004-11-13,0.52951765,0.61,2004,46
2004-11-21,0.32447302,0.36,2004,47
2004-11-29,0.22371323,0.24,2004,49
2004-12-07,0.16293797,0.12,2004,50
2004-12-15,0.1388889,0.1,2004,51
2004-12-23,0.2195677,0.2,2004,52
2004-12-31,0.10110039,0.0,2004,53
2005-01-08,0.13154101,0.0,2005,1
2005-01-16,0.19584258,0.18,2005,2
2005-01-24,0.24153626,0.22,2005,4
2005-02-01,0.27641183,0.36,2005,5
2005-02-09,0.13606884,0.12,2005,6
2005-02-17,0.17471716,0.19,2005,7
2005-02-25,0.24851495,0.3,2005,8
2005-03-05,0.31524235,0.39,2005,9
2005-03-13,0.21485293,0.26,2005,10
2005-03-21,0.053141598,0.01,2005,12
2005-03-29,0.16269858,0.14,2005,13
2005-04-06,0.40705132,0.46,2005,14
2005-04-14,0.39119446,0.43,2005,15
2005-04-22,0.47381324,0.52,2005,16
2005-04-30,0.35944265,0.38,2005,17
2005-05-08,0.26323092,0.28,2005,18
2005-05-16,0.32151005,0.34,2005,20
2005-05-24,0.45374778,0.49,2005,21
2005-06-01,0.21381922,0.22,2005,22
2005-06-09,0.4043194,0.41,2005,23
2005-06-17,0.5527272,0.58,2005,24
2005-06-25,0.3877873,0.41,2005,25
2005-07-03,0.38817436,0.41,2005,26
2005-07-11,0.5670108,0.59,2005,28
2005-07-19,0.52453977,0.55,2005,29
2005-07-27,0.44139573,0.46,2005,30
2005-08-04,0.533038,0.55,2005,31
2005-08-12,0.58626175,0.62,2005,32
2005-08-20,0.41557103,0.43,2005,33
2005-08-28,0.59487677,0.63,2005,34
2005-09-05,0.44631058,0.47,2005,36
2005-09-13,0.6460402,0.69,2005,37
2005-09-21,0.53425395,0.57,2005,38
2005-09-29,0.5423306,0.57,2005,39
2005-10-07,0.60621655,0.64,2005,40
2005-10-15,0.52106583,0.55,2005,41
2005-10-23,0.4595677,0.48,2005,42
2005-10-31,0.38059664,0.39,2005,44
2005-11-08,0.38431704,0.41,2005,45
2005-11-16,0.47380134,0.52,2005,46
2005-11-24,0.46811956,0.52,2005,47
2005-12-02,0.42532215,0.53,2005,48
2005-12-10,0.4077742,0.54,2005,49
2005-12-18,0.22672026,0.26,2005,50
2005-12-26,0.27234963,0.3,2005,52
2006-01-03,0.21722402,0.21,2006,1
2006-01-11,0.24408242,0.3,2006,2
2006-01-19,0.23264618,0.28,2006,3
2006-01-27,0.23741098,0.21,2006,4
2006-02-04,0.17683578,0.18,2006,5
2006-02-12,0.24369894,0.3,2006,6
2006-02-20,0.2470716,0.27,2006,8
2006-02-28,0.28612602,0.33,2006,9
2006-03-08,0.29468977,0.38,2006,10
2006-03-16,0.3643575,0.5,2006,11
2006-03-24,0.28199953,0.32,2006,12
2006-04-01,0.20700368,0.22,2006,13
2006-04-09,0.3324628,0.37,2006,14
2006-04-17,0.31394544,0.34,2006,16
2006-04-25,0.2713576,0.29,2006,17
2006-05-03,0.33587593,0.35,2006,18
2006-05-11,0.42234728,0.49,2006,19
2006-05-19,0.49698582,0.58,2006,20
2006-05-27,0.44374892,0.5,2006,21
2006-06-04,0.40910682,0.44,2006,22
2006-06-12,0.2673526,0.25,2006,24
2006-06-20,0.16073596,0.14,2006,25
2006-06-28,0.2812933,0.28,2006,26
2006-07-06,0.25309873,0.25,2006,27
2006-07-14,0.24148743,0.24,2006,28
2006-07-22,0.15563294,0.14,2006,29
2006-07-30,0.30767652,0.3,2006,30
2006-08-07,0.4046576,0.39,2006,32
2006-08-15,0.5133143,0.52,2006,33
2006-08-23,0.45716208,0.47,2006,34
2006-08-31,0.31400022,0.33,2006,35
2006-09-08,0.3242503,0.34,2006,36
2006-09-16,0.5040217,0.53,2006,37
2006-09-24,0.5186436,0.53,2006,38
2006-10-02,0.67431706,0.71,2006,40
2006-10-10,0.5313672,0.56,2006,41
2006-10-18,0.5448898,0.58,2006,42
2006-10-26,0.38634992,0.4,2006,43
2006-11-03,0.5846302,0.62,2006,44
2006-11-11,0.3710694,0.4,2006,45
2006-11-19,0.27612364,0.29,2006,46
2006-11-27,0.20658687,0.21,2006,48
2006-12-05,0.22675359,0.24,2006,49
2006-12-13,0.2673562,0.3,2006,50
2006-12-21,0.30453852,0.36,2006,51
2006-12-29,0.28985947,0.29,2006,52
2007-01-06,0.22167918,0.13,2007,1
2007-01-14,0.20011432,0.19,2007,2
2007-01-22,0.22239132,0.24,2007,4
2007-01-30,0.40220556,0.48,2007,5
2007-02-07,0.29688698,0.35,2007,6
2007-02-15,0.2730606,0.31,2007,7
2007-02-23,0.35667977,0.45,2007,8
2007-03-03,0.31064546,0.37,2007,9
2007-03-11,0.38296294,0.47,2007,10
2007-03-19,0.41466594,0.5,2007,12
2007-03-27,0.51668686,0.63,2007,13
2007-04-04,0.51955223,0.62,2007,14
2007-04-12,0.36961886,0.43,2007,15
2007-04-20,0.31335834,0.35,2007,16
2007-04-28,0.30707276,0.34,2007,17
2007-05-06,0.43065026,0.48,2007,18
2007-05-14,0.33779207,0.38,2007,20
2007-05-22,0.36234608,0.39,2007,21
2007-05-30,0.4935108,0.53,2007,22
2007-06-07,0.5931928,0.66,2007,23
2007-06-15,0.62938315,0.7,2007,24
2007-06-23,0.6449684,0.69,2007,25
2007-07-01,0.6745933,0.72,2007,26
2007-07-09,0.59010005,0.59,2007,28
2007-07-17,0.39686912,0.42,2007,29
2007-07-25,0.43090627,0.45,2007,30
2007-08-02,0.41381803,0.42,2007,31
2007-08-10,0.4856937,0.51,2007,32
2007-08-18,0.5199928,0.54,2007,33
2007-08-26,0.5418577,0.56,2007,34
2007-09-03,0.6336001,0.66,2007,36
2007-09-11,0.40399426,0.43,2007,37
2007-09-19,0.45241275,0.47,2007,38
2007-09-27,0.44933906,0.47,2007,39
2007-10-05,0.3870013,0.39,2007,40
2007-10-13,0.37034652,0.38,2007,41
2007-10-21,0.5246052,0.54,2007,42
2007-10-29,0.47337022,0.5,2007,44
2007-11-06,0.2615922,0.26,2007,45
2007-11-14,0.3412326,0.39,2007,46
2007-11-22,0.3371573,0.39,2007,47
2007-11-30,0.15939145,0.15,2007,48
2007-12-08,0.13895439,0.1,2007,49
2007-12-16,0.17318209,0.18,2007,50
2007-12-24,0.21254733,0.23,2007,52
2008-01-01,0.17049304,0.18,2008,1
2008-01-09,0.18301298,0.0,2008,2
2008-01-17,0.20335118,0.0,2008,3
2008-01-25,0.11222699,0.0,2008,4
2008-02-02,0.12976539,0.08,2008,5
2008-02-10,0.2115172,0.24,2008,6
2008-02-18,0.229264,0.26,2008,8
2008-02-26,0.15567583,0.14,2008,9
2008-03-05,0.296095,0.35,2008,10
2008-03-13,0.30610693,0.36,2008,11
2008-03-21,0.38111946,0.45,2008,12
2008-03-29,0.206519,0.21,2008,13
2008-04-06,0.39262235,0.44,2008,14
2008-04-14,0.4784197,0.55,2008,16
2008-04-22,0.4578528,0.49,2008,17
2008-04-30,0.40536025,0.44,2008,18
2008-05-08,0.2867012,0.3,2008,19
2008-05-16,0.4610432,0.52,2008,20
2008-05-24,0.54387283,0.64,2008,21
2008-06-01,0.57764554,0.69,2008,22
2008-06-09,0.61480886,0.68,2008,24
2008-06-17,0.52867335,0.57,2008,25
2008-06-25,0.5077921,0.55,2008,26
2008-07-03,0.4615696,0.49,2008,27
2008-07-11,0.7609063,0.81,2008,28
2008-07-19,0.581472,0.61,2008,29
2008-07-27,0.6456818,0.68,2008,30
2008-08-04,0.66878533,0.71,2008,32
2008-08-12,0.7448291,0.79,2008,33
2008-08-20,0.5693403,0.59,2008,34
2008-08-28,0.56901276,0.6,2008,35
2008-09-05,0.5910492,0.62,2008,36
2008-09-13,0.7622401,0.8,2008,37
2008-09-21,0.67394423,0.71,2008,38
2008-09-29,0.65520906,0.69,2008,40
2008-10-07,0.24891388,0.23,2008,41
2008-10-15,0.30101943,0.3,2008,42
2008-10-23,0.27899012,0.28,2008,43
2008-10-31,0.24874955,0.27,2008,44
2008-11-08,0.29686555,0.35,2008,45
2008-11-16,0.21534358,0.24,2008,46
2008-11-24,0.3261701,0.41,2008,48
2008-12-02,0.21806242,0.0,2008,49
2008-12-10,0.17239253,0.0,2008,50
2008-12-18,0.12552458,0.0,2008,51
2008-12-26,0.012767656,0.0,2008,52
2009-01-03,0.0019554603,0.0,2009,1
2009-01-11,0.0021924498,0.0,2009,2
2009-01-19,0.010325117,0.0,2009,4
2009-01-27,0.06370013,0.0,2009,5
2009-02-04,0.10407169,0.0,2009,6
2009-02-12,0.2023413,0.0,2009,7
2009-02-20,0.19569966,0.0,2009,8
2009-02-28,0.13105871,0.07,2009,9
2009-03-08,0.23612957,0.18,2009,10
2009-03-16,0.22847088,0.28,2009,12
2009-03-24,0.21295463,0.23,2009,13
2009-04-01,0.30809817,0.35,2009,14
2009-04-09,0.32399666,0.41,2009,15
2009-04-17,0.39249972,0.47,2009,16
2009-04-25,0.47547573,0.61,2009,17
2009-05-03,0.27086934,0.29,2009,18
2009-05-11,0.3758664,0.44,2009,20
2009-05-19,0.26316184,0.28,2009,21
2009-05-27,0.3470299,0.37,2009,22
2009-06-04,0.32612482,0.33,2009,23
2009-06-12,0.41030726,0.44,2009,24
2009-06-20,0.5568585,0.59,2009,25
2009-06-28,0.51788616,0.55,2009,26
2009-07-06,0.4968715,0.53,2009,28
2009-07-14,0.52216506,0.56,2009,29
2009-07-22,0.46030486,0.49,2009,30
2009-07-30,0.4692045,0.49,2009,31
2009-08-07,0.48093006,0.5,2009,32
2009-08-15,0.29052997,0.3,2009,33
2009-08-23,0.36056805,0.38,2009,34
2009-08-31,0.36962008,0.38,2009,36
2009-09-08,0.38122544,0.39,2009,37
2009-09-16,0.5575551,0.58,2009,38
2009-09-24,0.36722043,0.38,2009,39
2009-10-02,0.40667856,0.43,2009,40
2009-10-10,0.47359174,0.49,2009,41
2009-10-18,0.6061284,0.63,2009,42
2009-10-26,0.3454698,0.36,2009,44
2009-11-03,0.46629986,0.51,2009,45
2009-11-11,0.36180064,0.43,2009,46
2009-11-19,0.13438727,0.1,2009,47
2009-11-27,0.23007263,0.25,2009,48
2009-12-05,0.24363224,0.24,2009,49
2009-12-13,0.2511111,0.0,2009,50
2009-12-21,0.09924616,0.0,2009,52
2009-12-29,0.06498987,0.0,2009,53
2010-01-06,0.06498987,0.0,2010,1
2010-01-14,0.08303085,0.0,2010,2
