,mean,median,year,week
2001-01-05,0.10227029,0.0,2001,1
2001-01-13,0.45443106,0.53,2001,2
2001-01-21,0.32351395,0.32,2001,3
2001-01-29,0.30166072,0.31,2001,5
2001-02-06,0.3947329,0.44,2001,6
2001-02-14,0.21877071,0.21,2001,7
2001-02-22,0.2436685,0.24,2001,8
2001-03-02,0.43312585,0.47,2001,9
2001-03-10,0.42217997,0.45,2001,10
2001-03-18,0.42392313,0.44,2001,11
2001-03-26,0.39140496,0.39,2001,13
2001-04-03,0.4802947,0.49,2001,14
2001-04-11,0.52984256,0.56,2001,15
2001-04-19,0.5812091,0.62,2001,16
2001-04-27,0.3074825,0.29,2001,17
2001-05-05,0.26738936,0.25,2001,18
2001-05-13,0.21541858,0.2,2001,19
2001-05-21,0.38969895,0.41,2001,21
2001-05-29,0.23579517,0.24,2001,22
2001-06-06,0.52826416,0.58,2001,23
2001-06-14,0.5771863,0.64,2001,24
2001-06-22,0.0,0.0,2001,25
2001-06-30,0.6529941,0.73,2001,26
2001-07-08,0.5953093,0.67,2001,27
2001-07-16,0.6876273,0.78,2001,29
2001-07-24,0.64256006,0.73,2001,30
2001-08-01,0.52260447,0.58,2001,31
2001-08-09,0.64406276,0.73,2001,32
2001-08-17,0.4987893,0.55,2001,33
2001-08-25,0.37130886,0.4,2001,34
2001-09-02,0.5199778,0.57,2001,35
2001-09-10,0.56539524,0.61,2001,37
2001-09-18,0.5902187,0.64,2001,38
2001-09-26,0.51507246,0.55,2001,39
2001-10-04,0.502496,0.54,2001,40
2001-10-12,0.28351375,0.28,2001,41
2001-10-20,0.30488607,0.31,2001,42
2001-10-28,0.3723374,0.38,2001,43
2001-11-05,0.44631943,0.47,2001,45
2001-11-13,0.6008453,0.65,2001,46
2001-11-21,0.5323888,0.58,2001,47
2001-11-29,0.44181836,0.47,2001,48
2001-12-07,0.40329173,0.43,2001,49
2001-12-15,0.43460003,0.49,2001,50
2001-12-23,0.2976532,0.34,2001,51
2001-12-31,0.2206972,0.22,2001,1
2002-01-08,0.24592462,0.26,2002,2
2002-01-16,0.24167606,0.26,2002,3
