,mean,median,year,week
2001-01-05,0.3696252,0.45,2001,1
2001-01-13,0.4295635,0.43,2001,2
2001-01-21,0.4707845,0.48,2001,3
2001-01-29,0.37035802,0.37,2001,5
2001-02-06,0.37226254,0.37,2001,6
2001-02-14,0.23820844,0.23,2001,7
2001-02-22,0.21995978,0.21,2001,8
2001-03-02,0.45282888,0.46,2001,9
2001-03-10,0.41354373,0.42,2001,10
2001-03-18,0.43554237,0.44,2001,11
2001-03-26,0.44904783,0.45,2001,13
2001-04-03,0.5464313,0.54,2001,14
2001-04-11,0.57672715,0.58,2001,15
2001-04-19,0.5913333,0.6,2001,16
2001-04-27,0.48204228,0.49,2001,17
2001-05-05,0.4515085,0.46,2001,18
2001-05-13,0.34948304,0.34,2001,19
2001-05-21,0.5501083,0.56,2001,21
2001-05-29,0.2700121,0.26,2001,22
2001-06-06,0.53847426,0.55,2001,23
2001-06-14,0.4834697,0.49,2001,24
2001-06-22,0.0,0.0,2001,25
2001-06-30,0.5832477,0.6,2001,26
2001-07-08,0.55320835,0.59,2001,27
2001-07-16,0.6849639,0.73,2001,29
2001-07-24,0.5008718,0.53,2001,30
2001-08-01,0.45026794,0.46,2001,31
2001-08-09,0.57237065,0.6,2001,32
2001-08-17,0.46885306,0.48,2001,33
2001-08-25,0.33360997,0.35,2001,34
2001-09-02,0.56322134,0.58,2001,35
2001-09-10,0.56277204,0.58,2001,37
2001-09-18,0.6135521,0.63,2001,38
2001-09-26,0.54984766,0.56,2001,39
2001-10-04,0.5179264,0.52,2001,40
2001-10-12,0.34614444,0.34,2001,41
2001-10-20,0.4768289,0.48,2001,42
2001-10-28,0.48983678,0.49,2001,43
2001-11-05,0.50160193,0.51,2001,45
2001-11-13,0.7056298,0.72,2001,46
2001-11-21,0.56122524,0.57,2001,47
2001-11-29,0.43410173,0.43,2001,48
2001-12-07,0.3781444,0.37,2001,49
2001-12-15,0.549628,0.56,2001,50
2001-12-23,0.4448043,0.44,2001,51
2001-12-31,0.22439696,0.21,2001,1
2002-01-08,0.38850278,0.39,2002,2
2002-01-16,0.25979996,0.24,2002,3
2002-01-24,0.26161832,0.26,2002,4
2002-02-01,0.34950563,0.35,2002,5
2002-02-09,0.17084661,0.15,2002,6
2002-02-17,0.16430353,0.15,2002,7
2002-02-25,0.37969905,0.38,2002,9
2002-03-05,0.32580546,0.32,2002,10
2002-03-13,0.30325645,0.3,2002,11
2002-03-21,0.38666674,0.38,2002,12
2002-03-29,0.3103154,0.29,2002,13
2002-04-06,0.26206803,0.24,2002,14
2002-04-14,0.53761,0.54,2002,15
2002-04-22,0.5815119,0.59,2002,17
2002-04-30,0.41409242,0.41,2002,18
2002-05-08,0.58910745,0.6,2002,19
2002-05-16,0.47681108,0.48,2002,20
2002-05-24,0.4892866,0.5,2002,21
2002-06-01,0.47309017,0.48,2002,22
2002-06-09,0.42814416,0.44,2002,23
2002-06-17,0.48736352,0.5,2002,25
2002-06-25,0.41920805,0.43,2002,26
2002-07-03,0.6966801,0.74,2002,27
2002-07-11,0.5546502,0.59,2002,28
2002-07-19,0.6434544,0.67,2002,29
2002-07-27,0.67276865,0.71,2002,30
2002-08-04,0.59928447,0.63,2002,31
2002-08-12,0.7982255,0.84,2002,33
2002-08-20,0.6568425,0.69,2002,34
2002-08-28,0.7582882,0.8,2002,35
2002-09-05,0.75331175,0.79,2002,36
2002-09-13,0.7080971,0.74,2002,37
2002-09-21,0.62655586,0.66,2002,38
2002-09-29,0.66872597,0.7,2002,39
2002-10-07,0.5694192,0.59,2002,41
2002-10-15,0.5040028,0.52,2002,42
2002-10-23,0.45937577,0.46,2002,43
2002-10-31,0.42036477,0.42,2002,44
2002-11-08,0.51821095,0.53,2002,45
2002-11-16,0.5218088,0.54,2002,46
2002-11-24,0.37069678,0.38,2002,47
2002-12-02,0.34652328,0.35,2002,49
2002-12-10,0.43054736,0.48,2002,50
2002-12-18,0.2802877,0.25,2002,51
2002-12-26,0.20280673,0.18,2002,52
2003-01-03,0.20796539,0.16,2003,1
2003-01-11,0.45671096,0.47,2003,2
2003-01-19,0.48842168,0.51,2003,3
2003-01-27,0.42537168,0.43,2003,5
2003-02-04,0.3344629,0.33,2003,6
