,mean,median,year,week
2001-01-05,0.24367379,0.26,2001,1
2001-01-13,0.42411628,0.44,2001,2
2001-01-21,0.3937865,0.39,2001,3
2001-01-29,0.31493905,0.31,2001,5
2001-02-06,0.46490213,0.48,2001,6
2001-02-14,0.24853745,0.24,2001,7
2001-02-22,0.26994577,0.26,2001,8
2001-03-02,0.46237373,0.47,2001,9
2001-03-10,0.42877874,0.43,2001,10
2001-03-18,0.51213104,0.52,2001,11
2001-03-26,0.49516192,0.5,2001,13
2001-04-03,0.5186292,0.52,2001,14
2001-04-11,0.6030361,0.62,2001,15
2001-04-19,0.6724555,0.68,2001,16
2001-04-27,0.4520276,0.45,2001,17
2001-05-05,0.46680623,0.47,2001,18
2001-05-13,0.28145465,0.25,2001,19
2001-05-21,0.44751394,0.45,2001,21
2001-05-29,0.17974982,0.16,2001,22
2001-06-06,0.43560848,0.44,2001,23
2001-06-14,0.5607964,0.58,2001,24
2001-06-22,0.0,0.0,2001,25
2001-06-30,0.65046614,0.67,2001,26
2001-07-08,0.6439005,0.68,2001,27
2001-07-16,0.7858877,0.83,2001,29
2001-07-24,0.64302295,0.67,2001,30
2001-08-01,0.53073305,0.56,2001,31
2001-08-09,0.72639924,0.76,2001,32
2001-08-17,0.55422574,0.58,2001,33
2001-08-25,0.38486922,0.4,2001,34
2001-09-02,0.62201643,0.64,2001,35
2001-09-10,0.638808,0.65,2001,37
2001-09-18,0.6348282,0.64,2001,38
2001-09-26,0.57897556,0.59,2001,39
2001-10-04,0.4793413,0.48,2001,40
2001-10-12,0.2841873,0.27,2001,41
2001-10-20,0.39887974,0.39,2001,42
2001-10-28,0.5299333,0.53,2001,43
2001-11-05,0.5460703,0.55,2001,45
2001-11-13,0.73351437,0.75,2001,46
2001-11-21,0.60423034,0.61,2001,47
2001-11-29,0.5376095,0.55,2001,48
2001-12-07,0.436461,0.44,2001,49
2001-12-15,0.49761763,0.49,2001,50
2001-12-23,0.42337224,0.42,2001,51
2001-12-31,0.19585292,0.17,2001,1
2002-01-08,0.31209123,0.29,2002,2
2002-01-16,0.24854419,0.23,2002,3
2002-01-24,0.2630051,0.26,2002,4
2002-02-01,0.25520557,0.25,2002,5
2002-02-09,0.21042158,0.2,2002,6
2002-02-17,0.1563837,0.14,2002,7
2002-02-25,0.37396646,0.37,2002,9
2002-03-05,0.28865957,0.28,2002,10
2002-03-13,0.26600617,0.26,2002,11
2002-03-21,0.41367516,0.41,2002,12
2002-03-29,0.2865918,0.27,2002,13
2002-04-06,0.27421188,0.26,2002,14
2002-04-14,0.5896402,0.61,2002,15
2002-04-22,0.60409707,0.62,2002,17
2002-04-30,0.45826474,0.45,2002,18
2002-05-08,0.48749414,0.48,2002,19
2002-05-16,0.4113918,0.42,2002,20
2002-05-24,0.46201876,0.49,2002,21
2002-06-01,0.56470364,0.58,2002,22
2002-06-09,0.58073,0.59,2002,23
2002-06-17,0.56430095,0.59,2002,25
2002-06-25,0.46655887,0.49,2002,26
2002-07-03,0.734516,0.78,2002,27
2002-07-11,0.6007227,0.64,2002,28
2002-07-19,0.67931706,0.72,2002,29
2002-07-27,0.7929151,0.83,2002,30
2002-08-04,0.6549458,0.69,2002,31
2002-08-12,0.7751098,0.81,2002,33
2002-08-20,0.594997,0.63,2002,34
2002-08-28,0.7359054,0.77,2002,35
2002-09-05,0.6893357,0.71,2002,36
2002-09-13,0.6798038,0.7,2002,37
2002-09-21,0.5632627,0.57,2002,38
2002-09-29,0.6844161,0.69,2002,39
2002-10-07,0.53804183,0.54,2002,41
2002-10-15,0.4954106,0.5,2002,42
2002-10-23,0.47950748,0.48,2002,43
2002-10-31,0.5080398,0.51,2002,44
2002-11-08,0.5773291,0.59,2002,45
2002-11-16,0.50586855,0.51,2002,46
2002-11-24,0.39414054,0.4,2002,47
2002-12-02,0.32080695,0.32,2002,49
2002-12-10,0.43694142,0.47,2002,50
2002-12-18,0.18213643,0.0,2002,51
2002-12-26,0.16254066,0.0,2002,52
2003-01-03,0.11936594,0.0,2003,1
2003-01-11,0.53985363,0.56,2003,2
2003-01-19,0.5115741,0.53,2003,3
2003-01-27,0.4513333,0.46,2003,5
2003-02-04,0.4320838,0.44,2003,6
2003-02-12,0.43493935,0.44,2003,7
2003-02-20,0.4145175,0.42,2003,8
2003-02-28,0.27156392,0.26,2003,9
2003-03-08,0.17936172,0.17,2003,10
2003-03-16,0.3439013,0.33,2003,11
2003-03-24,0.2452883,0.22,2003,13
2003-04-01,0.56141704,0.57,2003,14
2003-04-09,0.51819247,0.5,2003,15
2003-04-17,0.31730646,0.3,2003,16
2003-04-25,0.2532207,0.23,2003,17
2003-05-03,0.15787703,0.13,2003,18
2003-05-11,0.2898475,0.28,2003,19
2003-05-19,0.29124254,0.29,2003,21
2003-05-27,0.38788342,0.4,2003,22
2003-06-04,0.47101355,0.5,2003,23
2003-06-12,0.42802626,0.46,2003,24
2003-06-20,0.50617003,0.55,2003,25
2003-06-28,0.652055,0.71,2003,26
2003-07-06,0.547603,0.59,2003,27
2003-07-14,0.44090638,0.47,2003,29
2003-07-22,0.38289276,0.4,2003,30
2003-07-30,0.3475199,0.36,2003,31
2003-08-07,0.16246739,0.16,2003,32
2003-08-15,0.119903065,0.1,2003,33
2003-08-23,0.13275607,0.11,2003,34
2003-08-31,0.21002944,0.17,2003,35
2003-09-08,0.19032077,0.18,2003,37
2003-09-16,0.084410734,0.04,2003,38
2003-09-24,0.20702682,0.18,2003,39
2003-10-02,0.56215066,0.56,2003,40
2003-10-10,0.3074091,0.29,2003,41
2003-10-18,0.5059762,0.51,2003,42
2003-10-26,0.6226899,0.62,2003,43
2003-11-03,0.4089167,0.4,2003,45
2003-11-11,0.36692005,0.36,2003,46
2003-11-19,0.19414862,0.18,2003,47
2003-11-27,0.31264412,0.3,2003,48
2003-12-05,0.35606426,0.35,2003,49
2003-12-13,0.26026118,0.25,2003,50
2003-12-21,0.44849592,0.47,2003,51
2003-12-29,0.036146007,0.0,2003,1
2004-01-06,0.13778953,0.0,2004,2
2004-01-14,0.2793192,0.29,2004,3
2004-01-22,0.4064854,0.44,2004,4
2004-01-30,0.47900727,0.5,2004,5
2004-02-07,0.21524058,0.21,2004,6
2004-02-15,0.29487634,0.29,2004,7
2004-02-23,0.46827394,0.48,2004,9
2004-03-02,0.4514929,0.46,2004,10
2004-03-10,0.44584888,0.45,2004,11
2004-03-18,0.33588558,0.33,2004,12
2004-03-26,0.40427208,0.41,2004,13
2004-04-03,0.4615895,0.47,2004,14
2004-04-11,0.6087428,0.63,2004,15
2004-04-19,0.54742706,0.55,2004,17
2004-04-27,0.40057576,0.39,2004,18
2004-05-05,0.6316877,0.65,2004,19
2004-05-13,0.49763033,0.5,2004,20
2004-05-21,0.19116715,0.16,2004,21
2004-05-29,0.37722275,0.37,2004,22
2004-06-06,0.3927076,0.4,2004,23
2004-06-14,0.4541917,0.47,2004,25
2004-06-22,0.6510279,0.68,2004,26
2004-06-30,0.6799536,0.72,2004,27
2004-07-08,0.6160556,0.65,2004,28
2004-07-16,0.73559964,0.78,2004,29
2004-07-24,0.54138505,0.57,2004,30
2004-08-01,0.6941838,0.73,2004,31
2004-08-09,0.69458115,0.73,2004,33
2004-08-17,0.59826094,0.64,2004,34
2004-08-25,0.64447695,0.68,2004,35
2004-09-02,0.5968862,0.61,2004,36
2004-09-10,0.32214376,0.32,2004,37
2004-09-18,0.5318782,0.54,2004,38
2004-09-26,0.4151827,0.41,2004,39
2004-10-04,0.37293857,0.37,2004,41
2004-10-12,0.39024442,0.38,2004,42
2004-10-20,0.5022937,0.5,2004,43
2004-10-28,0.47349936,0.48,2004,44
2004-11-05,0.32786745,0.32,2004,45
2004-11-13,0.5868281,0.6,2004,46
2004-11-21,0.45155004,0.45,2004,47
2004-11-29,0.32622334,0.31,2004,49
2004-12-07,0.2048369,0.2,2004,50
2004-12-15,0.28830242,0.28,2004,51
2004-12-23,0.35885692,0.36,2004,52
2004-12-31,0.31453344,0.32,2004,53
2005-01-08,0.3434565,0.34,2005,1
2005-01-16,0.26757067,0.26,2005,2
2005-01-24,0.5788378,0.61,2005,4
2005-02-01,0.38866955,0.39,2005,5
2005-02-09,0.30862495,0.3,2005,6
2005-02-17,0.2346429,0.22,2005,7
2005-02-25,0.34081846,0.32,2005,8
2005-03-05,0.5416877,0.56,2005,9
2005-03-13,0.34787223,0.34,2005,10
2005-03-21,0.0949046,0.06,2005,12
2005-03-29,0.40912053,0.4,2005,13
2005-04-06,0.45388952,0.45,2005,14
2005-04-14,0.54500115,0.56,2005,15
2005-04-22,0.5911264,0.6,2005,16
2005-04-30,0.52513826,0.53,2005,17
2005-05-08,0.31513384,0.3,2005,18
2005-05-16,0.4455583,0.44,2005,20
2005-05-24,0.6293261,0.65,2005,21
2005-06-01,0.42823184,0.44,2005,22
2005-06-09,0.6364372,0.67,2005,23
2005-06-17,0.67809474,0.72,2005,24
2005-06-25,0.5371127,0.57,2005,25
2005-07-03,0.54824805,0.59,2005,26
2005-07-11,0.7391746,0.79,2005,28
2005-07-19,0.6156014,0.65,2005,29
2005-07-27,0.5454848,0.58,2005,30
2005-08-04,0.51239896,0.54,2005,31
2005-08-12,0.6983476,0.74,2005,32
2005-08-20,0.6291625,0.66,2005,33
2005-08-28,0.7007162,0.73,2005,34
2005-09-05,0.6543275,0.68,2005,36
2005-09-13,0.61883557,0.64,2005,37
2005-09-21,0.55740815,0.57,2005,38
2005-09-29,0.49231777,0.5,2005,39
2005-10-07,0.47310764,0.47,2005,40
2005-10-15,0.5064397,0.51,2005,41
2005-10-23,0.47329858,0.48,2005,42
2005-10-31,0.51099044,0.53,2005,44
2005-11-08,0.5531417,0.57,2005,45
2005-11-16,0.4976376,0.51,2005,46
2005-11-24,0.58378994,0.6,2005,47
2005-12-02,0.57178223,0.61,2005,48
2005-12-10,0.46422884,0.5,2005,49
2005-12-18,0.37566325,0.39,2005,50
2005-12-26,0.37086654,0.39,2005,52
2006-01-03,0.00072195084,0.0,2006,1
2006-01-11,0.15983884,0.0,2006,2
2006-01-19,0.32292643,0.44,2006,3
