,mean,median,year,week
2001-01-05,0.2789831,0.0,2001,1
2001-01-13,0.4949104,0.51,2001,2
2001-01-21,0.49609154,0.51,2001,3
2001-01-29,0.4279922,0.43,2001,5
2001-02-06,0.40051213,0.41,2001,6
2001-02-14,0.3025142,0.3,2001,7
2001-02-22,0.24191213,0.24,2001,8
2001-03-02,0.5221365,0.52,2001,9
2001-03-10,0.468551,0.47,2001,10
2001-03-18,0.50183135,0.51,2001,11
2001-03-26,0.49848995,0.5,2001,13
2001-04-03,0.56862444,0.58,2001,14
2001-04-11,0.5141104,0.52,2001,15
2001-04-19,0.6106574,0.62,2001,16
2001-04-27,0.5232716,0.52,2001,17
2001-05-05,0.3738637,0.37,2001,18
2001-05-13,0.37812224,0.38,2001,19
2001-05-21,0.55136967,0.56,2001,21
2001-05-29,0.21741459,0.2,2001,22
2001-06-06,0.48389626,0.48,2001,23
2001-06-14,0.43251252,0.43,2001,24
2001-06-22,0.0,0.0,2001,25
2001-06-30,0.5866649,0.6,2001,26
2001-07-08,0.60213923,0.61,2001,27
2001-07-16,0.67893076,0.7,2001,29
2001-07-24,0.5076872,0.52,2001,30
2001-08-01,0.5247089,0.54,2001,31
2001-08-09,0.62464696,0.65,2001,32
2001-08-17,0.49338517,0.52,2001,33
2001-08-25,0.29291907,0.3,2001,34
2001-09-02,0.5107548,0.53,2001,35
2001-09-10,0.54492265,0.56,2001,37
2001-09-18,0.62120265,0.64,2001,38
2001-09-26,0.5242676,0.53,2001,39
2001-10-04,0.5579478,0.56,2001,40
2001-10-12,0.3522845,0.35,2001,41
2001-10-20,0.44022378,0.44,2001,42
2001-10-28,0.45346862,0.45,2001,43
2001-11-05,0.4504554,0.45,2001,45
2001-11-13,0.71513623,0.73,2001,46
2001-11-21,0.56411433,0.57,2001,47
2001-11-29,0.43119025,0.43,2001,48
2001-12-07,0.40380466,0.4,2001,49
2001-12-15,0.5847718,0.59,2001,50
2001-12-23,0.42213836,0.46,2001,51
2001-12-31,0.24828833,0.26,2001,1
2002-01-08,0.37427336,0.41,2002,2
2002-01-16,0.25730565,0.25,2002,3
2002-01-24,0.18881217,0.19,2002,4
2002-02-01,0.37721443,0.38,2002,5
2002-02-09,0.18152595,0.17,2002,6
2002-02-17,0.2131303,0.2,2002,7
2002-02-25,0.39192843,0.39,2002,9
2002-03-05,0.34557605,0.34,2002,10
2002-03-13,0.35848925,0.36,2002,11
2002-03-21,0.46254826,0.46,2002,12
2002-03-29,0.3429884,0.33,2002,13
2002-04-06,0.2907415,0.28,2002,14
2002-04-14,0.45955148,0.45,2002,15
2002-04-22,0.56413,0.57,2002,17
2002-04-30,0.4510197,0.45,2002,18
2002-05-08,0.5510754,0.56,2002,19
2002-05-16,0.4394834,0.44,2002,20
2002-05-24,0.5636761,0.58,2002,21
2002-06-01,0.5123431,0.51,2002,22
2002-06-09,0.49071413,0.49,2002,23
2002-06-17,0.46324444,0.47,2002,25
2002-06-25,0.4257009,0.44,2002,26
2002-07-03,0.7671101,0.8,2002,27
2002-07-11,0.5775182,0.6,2002,28
2002-07-19,0.66293865,0.68,2002,29
2002-07-27,0.6613164,0.69,2002,30
2002-08-04,0.6246081,0.64,2002,31
2002-08-12,0.7831416,0.81,2002,33
2002-08-20,0.6281859,0.65,2002,34
2002-08-28,0.7966502,0.82,2002,35
2002-09-05,0.78457266,0.81,2002,36
2002-09-13,0.7775614,0.81,2002,37
2002-09-21,0.67755646,0.69,2002,38
2002-09-29,0.6712722,0.69,2002,39
2002-10-07,0.53475684,0.54,2002,41
2002-10-15,0.4915977,0.5,2002,42
2002-10-23,0.55233455,0.55,2002,43
2002-10-31,0.4399798,0.43,2002,44
2002-11-08,0.39457858,0.39,2002,45
2002-11-16,0.5119952,0.52,2002,46
2002-11-24,0.3863649,0.38,2002,47
2002-12-02,0.33865398,0.33,2002,49
2002-12-10,0.43578357,0.44,2002,50
2002-12-18,0.47002813,0.49,2002,51
2002-12-26,0.35965613,0.36,2002,52
2003-01-03,0.46052772,0.48,2003,1
2003-01-11,0.53216183,0.54,2003,2
2003-01-19,0.53049123,0.54,2003,3
2003-01-27,0.46207526,0.47,2003,5
2003-02-04,0.38445535,0.38,2003,6
2003-02-12,0.44604585,0.45,2003,7
2003-02-20,0.46475407,0.46,2003,8
2003-02-28,0.28886783,0.28,2003,9
2003-03-08,0.101066306,0.09,2003,10
2003-03-16,0.35488418,0.35,2003,11
2003-03-24,0.20495681,0.19,2003,13
2003-04-01,0.2801487,0.26,2003,14
2003-04-09,0.4655243,0.46,2003,15
2003-04-17,0.43635365,0.43,2003,16
2003-04-25,0.3874592,0.38,2003,17
2003-05-03,0.2194575,0.21,2003,18
2003-05-11,0.32411763,0.31,2003,19
2003-05-19,0.3445928,0.34,2003,21
2003-05-27,0.45950112,0.47,2003,22
2003-06-04,0.42553034,0.46,2003,23
2003-06-12,0.29514563,0.31,2003,24
2003-06-20,0.39355513,0.41,2003,25
2003-06-28,0.44674763,0.47,2003,26
2003-07-06,0.3440403,0.35,2003,27
2003-07-14,0.27435753,0.27,2003,29
2003-07-22,0.31330895,0.32,2003,30
2003-07-30,0.3142497,0.32,2003,31
2003-08-07,0.16403697,0.15,2003,32
2003-08-15,0.15574661,0.13,2003,33
2003-08-23,0.19859429,0.17,2003,34
2003-08-31,0.22713196,0.2,2003,35
2003-09-08,0.2547478,0.23,2003,37
2003-09-16,0.1823037,0.15,2003,38
2003-09-24,0.2281585,0.19,2003,39
2003-10-02,0.5892308,0.58,2003,40
2003-10-10,0.30203182,0.28,2003,41
2003-10-18,0.5440698,0.52,2003,42
2003-10-26,0.64482355,0.65,2003,43
2003-11-03,0.40779987,0.4,2003,45
2003-11-11,0.47202352,0.47,2003,46
2003-11-19,0.23848219,0.23,2003,47
2003-11-27,0.28470153,0.28,2003,48
2003-12-05,0.40206283,0.4,2003,49
2003-12-13,0.20188238,0.19,2003,50
2003-12-21,0.4425739,0.46,2003,51
2003-12-29,0.0047526127,0.0,2003,1
2004-01-06,0.274398,0.21,2004,2
2004-01-14,0.33829206,0.34,2004,3
2004-01-22,0.41704044,0.42,2004,4
2004-01-30,0.5521341,0.56,2004,5
2004-02-07,0.19895644,0.19,2004,6
2004-02-15,0.32094646,0.32,2004,7
2004-02-23,0.588008,0.59,2004,9
2004-03-02,0.47551003,0.48,2004,10
