,mean,median,year,week
2001-01-05,0.27805966,0.09,2001,1
2001-01-13,0.4451589,0.48,2001,2
2001-01-21,0.4889818,0.52,2001,3
2001-01-29,0.36248717,0.37,2001,5
2001-02-06,0.43073237,0.45,2001,6
2001-02-14,0.31145874,0.32,2001,7
2001-02-22,0.29640493,0.3,2001,8
2001-03-02,0.6212049,0.62,2001,9
2001-03-10,0.48884007,0.51,2001,10
2001-03-18,0.43331695,0.43,2001,11
2001-03-26,0.44831687,0.46,2001,13
2001-04-03,0.6299505,0.65,2001,14
2001-04-11,0.55255485,0.56,2001,15
2001-04-19,0.66672665,0.69,2001,16
2001-04-27,0.4674681,0.47,2001,17
2001-05-05,0.40462452,0.41,2001,18
2001-05-13,0.39871398,0.4,2001,19
2001-05-21,0.55376476,0.57,2001,21
2001-05-29,0.27879933,0.28,2001,22
2001-06-06,0.38836324,0.38,2001,23
2001-06-14,0.32113275,0.31,2001,24
2001-06-22,0.0,0.0,2001,25
2001-06-30,0.4777783,0.48,2001,26
2001-07-08,0.5051211,0.51,2001,27
2001-07-16,0.6238512,0.63,2001,29
2001-07-24,0.48024088,0.48,2001,30
2001-08-01,0.39173192,0.4,2001,31
2001-08-09,0.575933,0.59,2001,32
2001-08-17,0.38086832,0.38,2001,33
2001-08-25,0.29387403,0.28,2001,34
2001-09-02,0.5480098,0.55,2001,35
2001-09-10,0.4510549,0.45,2001,37
2001-09-18,0.549534,0.56,2001,38
2001-09-26,0.5969183,0.6,2001,39
2001-10-04,0.5962662,0.6,2001,40
2001-10-12,0.42432496,0.43,2001,41
2001-10-20,0.45227084,0.45,2001,42
2001-10-28,0.5100801,0.52,2001,43
2001-11-05,0.4744818,0.48,2001,45
2001-11-13,0.6811344,0.69,2001,46
2001-11-21,0.5970749,0.6,2001,47
2001-11-29,0.44210675,0.44,2001,48
2001-12-07,0.3621018,0.36,2001,49
2001-12-15,0.5213943,0.53,2001,50
2001-12-23,0.32753828,0.39,2001,51
2001-12-31,0.1879605,0.2,2001,1
2002-01-08,0.25138438,0.27,2002,2
2002-01-16,0.23092303,0.24,2002,3
2002-01-24,0.19496587,0.17,2002,4
2002-02-01,0.2952335,0.31,2002,5
2002-02-09,0.26242775,0.25,2002,6
2002-02-17,0.24566378,0.22,2002,7
2002-02-25,0.31680402,0.3,2002,9
2002-03-05,0.3218409,0.32,2002,10
2002-03-13,0.29044393,0.29,2002,11
2002-03-21,0.41304874,0.41,2002,12
2002-03-29,0.45983964,0.45,2002,13
2002-04-06,0.35724697,0.36,2002,14
2002-04-14,0.50114,0.5,2002,15
2002-04-22,0.6142339,0.62,2002,17
2002-04-30,0.4256703,0.43,2002,18
2002-05-08,0.5738138,0.58,2002,19
2002-05-16,0.53263086,0.54,2002,20
2002-05-24,0.6578622,0.67,2002,21
2002-06-01,0.53286034,0.54,2002,22
2002-06-09,0.5298677,0.53,2002,23
2002-06-17,0.47515965,0.48,2002,25
2002-06-25,0.37784266,0.38,2002,26
2002-07-03,0.7314518,0.75,2002,27
2002-07-11,0.5519126,0.56,2002,28
2002-07-19,0.70554835,0.72,2002,29
2002-07-27,0.7421047,0.76,2002,30
2002-08-04,0.6696603,0.69,2002,31
2002-08-12,0.8807315,0.91,2002,33
2002-08-20,0.68419695,0.7,2002,34
2002-08-28,0.8655189,0.89,2002,35
2002-09-05,0.8843734,0.92,2002,36
2002-09-13,0.85720503,0.88,2002,37
2002-09-21,0.74477494,0.78,2002,38
2002-09-29,0.72058326,0.75,2002,39
2002-10-07,0.587174,0.6,2002,41
2002-10-15,0.6082358,0.63,2002,42
2002-10-23,0.6250401,0.64,2002,43
2002-10-31,0.51694506,0.53,2002,44
2002-11-08,0.44066647,0.44,2002,45
2002-11-16,0.51959383,0.53,2002,46
2002-11-24,0.3586747,0.36,2002,47
2002-12-02,0.33520383,0.34,2002,49
2002-12-10,0.4163503,0.43,2002,50
2002-12-18,0.5602747,0.6,2002,51
2002-12-26,0.4165187,0.44,2002,52
2003-01-03,0.3976679,0.41,2003,1
