,mean,median,year,week
2001-01-05,0.26404327,0.0,2001,1
2001-01-13,0.35461774,0.39,2001,2
2001-01-21,0.4279903,0.47,2001,3
2001-01-29,0.33949536,0.35,2001,5
2001-02-06,0.3241339,0.34,2001,6
2001-02-14,0.2122752,0.21,2001,7
2001-02-22,0.19898067,0.19,2001,8
2001-03-02,0.42317435,0.45,2001,9
2001-03-10,0.3780192,0.38,2001,10
2001-03-18,0.41407916,0.43,2001,11
2001-03-26,0.42131504,0.43,2001,13
2001-04-03,0.51254886,0.54,2001,14
2001-04-11,0.51963633,0.55,2001,15
2001-04-19,0.5223294,0.55,2001,16
2001-04-27,0.4704952,0.49,2001,17
2001-05-05,0.42979926,0.45,2001,18
2001-05-13,0.38366386,0.39,2001,19
2001-05-21,0.52286917,0.55,2001,21
2001-05-29,0.27571383,0.28,2001,22
2001-06-06,0.5574838,0.6,2001,23
2001-06-14,0.5640093,0.6,2001,24
2001-06-22,0.0,0.0,2001,25
2001-06-30,0.6677424,0.73,2001,26
2001-07-08,0.57804817,0.62,2001,27
2001-07-16,0.7057308,0.78,2001,29
2001-07-24,0.51848173,0.57,2001,30
2001-08-01,0.43805385,0.47,2001,31
2001-08-09,0.562873,0.61,2001,32
2001-08-17,0.45723087,0.49,2001,33
2001-08-25,0.36796892,0.4,2001,34
2001-09-02,0.5504826,0.59,2001,35
2001-09-10,0.5710803,0.61,2001,37
2001-09-18,0.58449376,0.62,2001,38
2001-09-26,0.4770742,0.49,2001,39
2001-10-04,0.48490027,0.51,2001,40
2001-10-12,0.31806645,0.32,2001,41
2001-10-20,0.41734478,0.44,2001,42
2001-10-28,0.44208646,0.46,2001,43
2001-11-05,0.4709665,0.5,2001,45
2001-11-13,0.6734065,0.72,2001,46
2001-11-21,0.4958529,0.52,2001,47
2001-11-29,0.40370983,0.42,2001,48
2001-12-07,0.3633002,0.37,2001,49
2001-12-15,0.52459383,0.54,2001,50
2001-12-23,0.41416413,0.43,2001,51
2001-12-31,0.23781036,0.23,2001,1
2002-01-08,0.35920155,0.37,2002,2
2002-01-16,0.25144592,0.24,2002,3
2002-01-24,0.28909394,0.29,2002,4
2002-02-01,0.30134022,0.32,2002,5
2002-02-09,0.1449116,0.12,2002,6
2002-02-17,0.1367923,0.12,2002,7
2002-02-25,0.37590322,0.38,2002,9
2002-03-05,0.3097395,0.32,2002,10
2002-03-13,0.28940415,0.29,2002,11
2002-03-21,0.3652715,0.37,2002,12
2002-03-29,0.28168565,0.27,2002,13
2002-04-06,0.25057134,0.24,2002,14
2002-04-14,0.4713566,0.48,2002,15
2002-04-22,0.5140999,0.54,2002,17
2002-04-30,0.37964576,0.39,2002,18
2002-05-08,0.53622603,0.56,2002,19
2002-05-16,0.4824237,0.51,2002,20
2002-05-24,0.46138173,0.49,2002,21
2002-06-01,0.4499585,0.47,2002,22
2002-06-09,0.38987982,0.41,2002,23
2002-06-17,0.49801612,0.54,2002,25
2002-06-25,0.4171289,0.46,2002,26
2002-07-03,0.68895555,0.76,2002,27
2002-07-11,0.57518655,0.64,2002,28
2002-07-19,0.65725225,0.72,2002,29
2002-07-27,0.65471655,0.72,2002,30
2002-08-04,0.60111934,0.66,2002,31
2002-08-12,0.76738566,0.85,2002,33
2002-08-20,0.6305021,0.69,2002,34
2002-08-28,0.71430314,0.78,2002,35
2002-09-05,0.6986,0.76,2002,36
2002-09-13,0.67233497,0.74,2002,37
2002-09-21,0.60086644,0.66,2002,38
2002-09-29,0.62364125,0.67,2002,39
2002-10-07,0.5270465,0.56,2002,41
2002-10-15,0.4575656,0.48,2002,42
2002-10-23,0.43796328,0.45,2002,43
2002-10-31,0.38123137,0.39,2002,44
2002-11-08,0.45091486,0.47,2002,45
2002-11-16,0.50120425,0.54,2002,46
2002-11-24,0.37599635,0.39,2002,47
2002-12-02,0.31775373,0.31,2002,49
2002-12-10,0.44836593,0.52,2002,50
2002-12-18,0.26732713,0.23,2002,51
2002-12-26,0.16191594,0.0,2002,52
2003-01-03,0.21273516,0.0,2003,1
2003-01-11,0.4112414,0.44,2003,2
2003-01-19,0.4606097,0.5,2003,3
2003-01-27,0.40484363,0.43,2003,5
2003-02-04,0.31945825,0.32,2003,6
2003-02-12,0.37858427,0.38,2003,7
2003-02-20,0.41264457,0.43,2003,8
2003-02-28,0.28050902,0.28,2003,9
2003-03-08,0.15148996,0.14,2003,10
2003-03-16,0.3149179,0.32,2003,11
2003-03-24,0.2160555,0.2,2003,13
2003-04-01,0.24694835,0.23,2003,14
2003-04-09,0.43247405,0.44,2003,15
2003-04-17,0.3425357,0.34,2003,16
2003-04-25,0.22099225,0.2,2003,17
2003-05-03,0.19610646,0.18,2003,18
2003-05-11,0.34497514,0.35,2003,19
2003-05-19,0.36159,0.37,2003,21
2003-05-27,0.45174542,0.48,2003,22
2003-06-04,0.44640407,0.5,2003,23
2003-06-12,0.3397804,0.36,2003,24
2003-06-20,0.39652804,0.43,2003,25
2003-06-28,0.5094029,0.56,2003,26
2003-07-06,0.42657083,0.48,2003,27
2003-07-14,0.36111116,0.39,2003,29
2003-07-22,0.33987418,0.36,2003,30
2003-07-30,0.37206632,0.39,2003,31
2003-08-07,0.18969734,0.19,2003,32
2003-08-15,0.15573458,0.13,2003,33
2003-08-23,0.17734914,0.14,2003,34
2003-08-31,0.25076073,0.22,2003,35
2003-09-08,0.261383,0.24,2003,37
2003-09-16,0.20422766,0.17,2003,38
2003-09-24,0.21187,0.18,2003,39
2003-10-02,0.50068647,0.52,2003,40
2003-10-10,0.2942805,0.28,2003,41
2003-10-18,0.46482477,0.48,2003,42
2003-10-26,0.6216221,0.66,2003,43
2003-11-03,0.39190713,0.39,2003,45
2003-11-11,0.41970867,0.43,2003,46
2003-11-19,0.2867401,0.29,2003,47
2003-11-27,0.26779464,0.26,2003,48
2003-12-05,0.3322639,0.34,2003,49
2003-12-13,0.1604241,0.14,2003,50
2003-12-21,0.36936134,0.41,2003,51
2003-12-29,0.065804444,0.0,2003,1
2004-01-06,0.37967783,0.43,2004,2
2004-01-14,0.23500851,0.24,2004,3
2004-01-22,0.36397597,0.39,2004,4
2004-01-30,0.42722836,0.46,2004,5
2004-02-07,0.17222048,0.16,2004,6
2004-02-15,0.24058202,0.24,2004,7
2004-02-23,0.5168728,0.56,2004,9
2004-03-02,0.37374756,0.39,2004,10
2004-03-10,0.38571635,0.41,2004,11
2004-03-18,0.27123198,0.27,2004,12
2004-03-26,0.32557917,0.34,2004,13
2004-04-03,0.42884916,0.44,2004,14
2004-04-11,0.48488203,0.5,2004,15
2004-04-19,0.51898444,0.54,2004,17
2004-04-27,0.36720127,0.36,2004,18
2004-05-05,0.5641911,0.6,2004,19
2004-05-13,0.4532549,0.47,2004,20
2004-05-21,0.29198954,0.28,2004,21
2004-05-29,0.38086516,0.38,2004,22
2004-06-06,0.31178066,0.31,2004,23
2004-06-14,0.30571005,0.32,2004,25
2004-06-22,0.41068017,0.44,2004,26
2004-06-30,0.40202668,0.43,2004,27
2004-07-08,0.4547662,0.49,2004,28
2004-07-16,0.5621217,0.6,2004,29
2004-07-24,0.39695653,0.42,2004,30
2004-08-01,0.56133074,0.61,2004,31
2004-08-09,0.6618581,0.73,2004,33
2004-08-17,0.49381486,0.54,2004,34
2004-08-25,0.59735227,0.66,2004,35
2004-09-02,0.5461562,0.6,2004,36
2004-09-10,0.35603473,0.37,2004,37
2004-09-18,0.5840206,0.63,2004,38
2004-09-26,0.4401762,0.46,2004,39
2004-10-04,0.37227395,0.39,2004,41
2004-10-12,0.38794187,0.41,2004,42
2004-10-20,0.46413076,0.49,2004,43
2004-10-28,0.4669477,0.49,2004,44
2004-11-05,0.45474735,0.48,2004,45
2004-11-13,0.54020137,0.58,2004,46
2004-11-21,0.3940112,0.4,2004,47
2004-11-29,0.24156988,0.24,2004,49
2004-12-07,0.18021959,0.16,2004,50
2004-12-15,0.2712389,0.27,2004,51
2004-12-23,0.36526522,0.38,2004,52
2004-12-31,0.331444,0.36,2004,53
2005-01-08,0.32365382,0.35,2005,1
2005-01-16,0.2945926,0.31,2005,2
2005-01-24,0.3952224,0.43,2005,4
2005-02-01,0.36964828,0.39,2005,5
2005-02-09,0.19019066,0.18,2005,6
2005-02-17,0.20932801,0.2,2005,7
2005-02-25,0.34131318,0.32,2005,8
2005-03-05,0.49384132,0.52,2005,9
2005-03-13,0.41394576,0.44,2005,10
2005-03-21,0.08514692,0.05,2005,12
2005-03-29,0.29563457,0.29,2005,13
2005-04-06,0.44787958,0.46,2005,14
2005-04-14,0.5407406,0.57,2005,15
2005-04-22,0.5897754,0.62,2005,16
2005-04-30,0.42300007,0.44,2005,17
2005-05-08,0.24341848,0.23,2005,18
2005-05-16,0.38636446,0.39,2005,20
2005-05-24,0.5499516,0.59,2005,21
2005-06-01,0.2881199,0.3,2005,22
2005-06-09,0.47371423,0.51,2005,23
2005-06-17,0.5771647,0.63,2005,24
2005-06-25,0.4398905,0.48,2005,25
2005-07-03,0.40558043,0.45,2005,26
2005-07-11,0.65917194,0.72,2005,28
2005-07-19,0.5140898,0.55,2005,29
2005-07-27,0.46500218,0.5,2005,30
2005-08-04,0.5579287,0.61,2005,31
2005-08-12,0.573185,0.62,2005,32
2005-08-20,0.47398543,0.5,2005,33
2005-08-28,0.58542067,0.64,2005,34
2005-09-05,0.5166451,0.56,2005,36
2005-09-13,0.66777325,0.73,2005,37
2005-09-21,0.5578947,0.61,2005,38
2005-09-29,0.43704146,0.46,2005,39
2005-10-07,0.5432845,0.57,2005,40
2005-10-15,0.49122193,0.52,2005,41
2005-10-23,0.4034298,0.42,2005,42
2005-10-31,0.34822565,0.36,2005,44
2005-11-08,0.39692447,0.41,2005,45
