,date,year,week,cyclostat_level_Como,cyclostat_release_Como,cyclostat_inflow_Como,cyclostat_level_Como_1w,cyclostat_level_Como_4w,cyclostat_level_Como_8w,cyclostat_level_Como_12w,cyclostat_level_Como_16w,cyclostat_level_Como_24w,cyclostat_release_Como_1w,cyclostat_release_Como_4w,cyclostat_release_Como_8w,cyclostat_release_Como_12w,cyclostat_release_Como_16w,cyclostat_release_Como_24w,cyclostat_inflow_Como_1w,cyclostat_inflow_Como_4w,cyclostat_inflow_Como_8w,cyclostat_inflow_Como_12w,cyclostat_inflow_Como_16w,cyclostat_inflow_Como_24w
0,2000-01-11,2000,2,-0.1880625,-12.509124999999997,-19.340000000000003,-0.1880625,-0.1880625,-0.1880625,-0.1880625,-0.1880625,-0.1880625,-12.509124999999997,-12.509124999999997,-12.509124999999997,-12.509124999999997,-12.509124999999997,-12.509124999999997,-19.340000000000003,-19.340000000000003,-19.340000000000003,-19.340000000000003,-19.340000000000003,-19.340000000000003
1,2000-01-19,2000,3,-0.18160714285714286,-6.145535714285714,-15.450000000000003,-0.18483482142857144,-0.18483482142857144,-0.18483482142857144,-0.18483482142857144,-0.18483482142857144,-0.18483482142857144,-9.327330357142856,-9.327330357142856,-9.327330357142856,-9.327330357142856,-9.327330357142856,-9.327330357142856,-17.395000000000003,-17.395000000000003,-17.395000000000003,-17.395000000000003,-17.395000000000003,-17.395000000000003
2,2000-01-27,2000,4,-0.145859375,2.34375,-3.3062500000000057,-0.16373325892857143,-0.17184300595238097,-0.17184300595238097,-0.17184300595238097,-0.17184300595238097,-0.17184300595238097,-1.900892857142857,-5.436970238095237,-5.436970238095237,-5.436970238095237,-5.436970238095237,-5.436970238095237,-9.378125000000004,-12.698750000000004,-12.698750000000004,-12.698750000000004,-12.698750000000004,-12.698750000000004
3,2000-02-04,2000,5,-0.308875,-10.605249999999998,-21.94125000000001,-0.2273671875,-0.20610100446428573,-0.20610100446428573,-0.20610100446428573,-0.20610100446428573,-0.20610100446428573,-4.130749999999999,-6.729040178571427,-6.729040178571427,-6.729040178571427,-6.729040178571427,-6.729040178571427,-12.623750000000008,-15.009375000000006,-15.009375000000006,-15.009375000000006,-15.009375000000006,-15.009375000000006
4,2000-02-12,2000,6,-0.3453125,-14.936999999999998,-21.7675,-0.32709375,-0.2339433035714286,-0.2339433035714286,-0.2339433035714286,-0.2339433035714286,-0.2339433035714286,-12.771124999999998,-8.370632142857142,-8.370632142857142,-8.370632142857142,-8.370632142857142,-8.370632142857142,-21.854375000000005,-16.361000000000004,-16.361000000000004,-16.361000000000004,-16.361000000000004,-16.361000000000004
5,2000-02-20,2000,7,-0.40609375000000003,-39.45468749999999,-40.46406250000001,-0.375703125,-0.2775495535714286,-0.26263504464285714,-0.26263504464285714,-0.26263504464285714,-0.26263504464285714,-27.195843749999995,-13.75974464285714,-13.551308035714284,-13.551308035714284,-13.551308035714284,-13.551308035714284,-31.115781250000005,-20.585812500000007,-20.378177083333338,-20.378177083333338,-20.378177083333338,-20.378177083333338
6,2000-02-28,2000,9,-0.3252,-28.499125000000006,-21.223749999999995,-0.36564687500000004,-0.306268125,-0.27157289540816326,-0.27157289540816326,-0.27157289540816326,-0.27157289540816326,-33.97690625,-18.230462499999998,-15.686710459183672,-15.686710459183672,-15.686710459183672,-15.686710459183672,-30.843906250000003,-21.740562500000003,-20.498973214285716,-20.498973214285716,-20.498973214285716,-20.498973214285716
7,2000-03-07,2000,10,-0.294975,-31.20275000000001,-28.351250000000007,-0.31008749999999996,-0.33609125,-0.2744981584821429,-0.2744981584821429,-0.2744981584821429,-0.2744981584821429,-29.850937500000008,-24.9397625,-17.626215401785714,-17.626215401785714,-17.626215401785714,-17.626215401785714,-24.7875,-26.749562500000003,-21.480507812500004,-21.480507812500004,-21.480507812500004,-21.480507812500004
8,2000-03-15,2000,11,-0.25419642857142855,-34.94839285714286,-31.798214285714295,-0.27458571428571427,-0.32515553571428574,-0.27224241071428573,-0.27224241071428573,-0.27224241071428573,-0.27224241071428573,-33.075571428571436,-29.80839107142857,-19.550901785714288,-19.550901785714288,-19.550901785714288,-19.550901785714288,-30.07473214285715,-28.720955357142863,-22.626919642857146,-22.626919642857146,-22.626919642857146,-22.626919642857146
9,2000-03-23,2000,12,-0.299453125,-21.6034375,-19.084375,-0.27682477678571427,-0.31598366071428574,-0.2846191468253968,-0.27496348214285715,-0.27496348214285715,-0.27496348214285715,-28.27591517857143,-31.141678571428578,-20.56138095238095,-19.75615535714286,-19.75615535714286,-19.75615535714286,-25.441294642857148,-28.184330357142862,-22.598516865079368,-22.272665178571433,-22.272665178571433,-22.272665178571433
