,date,year,week,cyclostat_level_Iseo,cyclostat_release_Iseo,cyclostat_inflow_Iseo,cyclostat_level_Iseo_1w,cyclostat_level_Iseo_4w,cyclostat_level_Iseo_8w,cyclostat_level_Iseo_12w,cyclostat_level_Iseo_16w,cyclostat_level_Iseo_24w,cyclostat_release_Iseo_1w,cyclostat_release_Iseo_4w,cyclostat_release_Iseo_8w,cyclostat_release_Iseo_12w,cyclostat_release_Iseo_16w,cyclostat_release_Iseo_24w,cyclostat_inflow_Iseo_1w,cyclostat_inflow_Iseo_4w,cyclostat_inflow_Iseo_8w,cyclostat_inflow_Iseo_12w,cyclostat_inflow_Iseo_16w,cyclostat_inflow_Iseo_24w
0,2000-01-11,2000,2,-13.548749999999998,-8.350000000000001,-11.782875000000004,-13.548749999999998,-13.548749999999998,-13.548749999999998,-13.548749999999998,-13.548749999999998,-13.548749999999998,-8.350000000000001,-8.350000000000001,-8.350000000000001,-8.350000000000001,-8.350000000000001,-8.350000000000001,-11.782875000000004,-11.782875000000004,-11.782875000000004,-11.782875000000004,-11.782875000000004,-11.782875000000004
1,2000-01-19,2000,3,-12.75892857142857,-1.6339285714285765,-6.303035714285713,-13.153839285714284,-13.153839285714284,-13.153839285714284,-13.153839285714284,-13.153839285714284,-13.153839285714284,-4.991964285714289,-4.991964285714289,-4.991964285714289,-4.991964285714289,-4.991964285714289,-4.991964285714289,-9.042955357142858,-9.042955357142858,-9.042955357142858,-9.042955357142858,-9.042955357142858,-9.042955357142858
2,2000-01-27,2000,4,-11.939062499999999,4.0859375,1.9003124999999983,-12.348995535714284,-12.748913690476188,-12.748913690476188,-12.748913690476188,-12.748913690476188,-12.748913690476188,1.2260044642857117,-1.965997023809526,-1.965997023809526,-1.965997023809526,-1.965997023809526,-1.965997023809526,-2.2013616071428572,-5.3951994047619065,-5.3951994047619065,-5.3951994047619065,-5.3951994047619065,-5.3951994047619065
3,2000-02-04,2000,5,-28.06375,-5.634375000000006,-8.448124999999997,-20.00140625,-16.577622767857143,-16.577622767857143,-16.577622767857143,-16.577622767857143,-16.577622767857143,-0.7742187500000028,-2.883091517857146,-2.883091517857146,-2.883091517857146,-2.883091517857146,-2.883091517857146,-3.2739062499999996,-6.158430803571429,-6.158430803571429,-6.158430803571429,-6.158430803571429,-6.158430803571429
4,2000-02-12,2000,6,-28.66375,-4.606999999999999,-6.104249999999997,-28.36375,-18.994848214285714,-18.994848214285714,-18.994848214285714,-18.994848214285714,-18.994848214285714,-5.1206875000000025,-3.2278732142857165,-3.2278732142857165,-3.2278732142857165,-3.2278732142857165,-3.2278732142857165,-7.276187499999997,-6.147594642857142,-6.147594642857142,-6.147594642857142,-6.147594642857142,-6.147594642857142
5,2000-02-20,2000,7,-34.83125,-11.427968749999998,-14.802968750000002,-31.7475,-23.251348214285713,-21.634248511904758,-21.634248511904758,-21.634248511904758,-21.634248511904758,-8.017484374999999,-3.843466964285716,-4.5945558035714305,-4.5945558035714305,-4.5945558035714305,-4.5945558035714305,-10.453609375,-6.751613392857142,-7.590156994047619,-7.590156994047619,-7.590156994047619,-7.590156994047619
6,2000-02-28,2000,9,-27.6225,-4.787750000000003,-5.3613750000000024,-31.226875,-26.224062499999995,-22.489713010204078,-22.489713010204078,-22.489713010204078,-22.489713010204078,-8.107859375,-4.474231250000001,-4.622154974489797,-4.622154974489797,-4.622154974489797,-4.622154974489797,-10.082171875000002,-6.56328125,-7.271759566326531,-7.271759566326531,-7.271759566326531,-7.271759566326531
7,2000-03-07,2000,10,-23.63125,-2.9222499999999947,-2.695875000000001,-25.626875,-28.5625,-22.63240513392857,-22.63240513392857,-22.63240513392857,-22.63240513392857,-3.8549999999999986,-5.87586875,-4.409666852678573,-4.409666852678573,-4.409666852678573,-4.409666852678573,-4.028625000000002,-7.48251875,-6.699773995535715,-6.699773995535715,-6.699773995535715,-6.699773995535715
8,2000-03-15,2000,11,-31.912499999999998,-8.41553571428571,-12.074107142857144,-27.771875,-29.33225,-23.663526785714286,-23.663526785714286,-23.663526785714286,-23.663526785714286,-5.668892857142852,-6.432100892857141,-4.854763392857143,-4.854763392857143,-4.854763392857143,-4.854763392857143,-7.384991071428573,-8.20771517857143,-7.296922123015873,-7.296922123015873,-7.296922123015873,-7.296922123015873
9,2000-03-23,2000,12,-25.3859375,-2.0167187499999955,-5.462499999999999,-28.64921875,-28.676687500000003,-24.97876984126984,-23.83576785714286,-23.83576785714286,-23.83576785714286,-5.216127232142853,-5.9140446428571405,-4.1510654761904755,-4.570958928571429,-4.570958928571429,-4.570958928571429,-8.768303571428572,-8.079365178571429,-6.594658234126984,-7.113479910714287,-7.113479910714287,-7.113479910714287
