,date,year,week,cyclostat_level_Lugano,cyclostat_release_Lugano,cyclostat_inflow_Lugano,cyclostat_level_Lugano_1w,cyclostat_level_Lugano_4w,cyclostat_level_Lugano_8w,cyclostat_level_Lugano_12w,cyclostat_level_Lugano_16w,cyclostat_level_Lugano_24w,cyclostat_release_Lugano_1w,cyclostat_release_Lugano_4w,cyclostat_release_Lugano_8w,cyclostat_release_Lugano_12w,cyclostat_release_Lugano_16w,cyclostat_release_Lugano_24w,cyclostat_inflow_Lugano_1w,cyclostat_inflow_Lugano_4w,cyclostat_inflow_Lugano_8w,cyclostat_inflow_Lugano_12w,cyclostat_inflow_Lugano_16w,cyclostat_inflow_Lugano_24w,cyclostat_level_Maggiore,cyclostat_release_Maggiore,cyclostat_inflow_Maggiore,cyclostat_level_Maggiore_1w,cyclostat_level_Maggiore_4w,cyclostat_level_Maggiore_8w,cyclostat_level_Maggiore_12w,cyclostat_level_Maggiore_16w,cyclostat_level_Maggiore_24w,cyclostat_release_Maggiore_1w,cyclostat_release_Maggiore_4w,cyclostat_release_Maggiore_8w,cyclostat_release_Maggiore_12w,cyclostat_release_Maggiore_16w,cyclostat_release_Maggiore_24w,cyclostat_inflow_Maggiore_1w,cyclostat_inflow_Maggiore_4w,cyclostat_inflow_Maggiore_8w,cyclostat_inflow_Maggiore_12w,cyclostat_inflow_Maggiore_16w,cyclostat_inflow_Maggiore_24w
0,2000-01-11,2000,2,0.03160000000002583,-7.043537413194446,-7.377879253473546,0.03160000000002583,0.03160000000002583,0.03160000000002583,0.03160000000002583,0.03160000000002583,0.03160000000002583,-7.043537413194446,-7.043537413194446,-7.043537413194446,-7.043537413194446,-7.043537413194446,-7.043537413194446,-7.377879253473546,-7.377879253473546,-7.377879253473546,-7.377879253473546,-7.377879253473546,-7.377879253473546,-0.010937499999999933,15.324999999999989,-26.77857948836001,-0.010937499999999933,-0.010937499999999933,-0.010937499999999933,-0.010937499999999933,-0.010937499999999933,-0.010937499999999933,15.324999999999989,15.324999999999989,15.324999999999989,15.324999999999989,15.324999999999989,15.324999999999989,-26.77857948836001,-26.77857948836001,-26.77857948836001,-26.77857948836001,-26.77857948836001,-26.77857948836001
1,2000-01-19,2000,3,0.010803571428596115,-2.918283730158727,-7.092328869046002,0.021201785714310972,0.021201785714310972,0.021201785714310972,0.021201785714310972,0.021201785714310972,0.021201785714310972,-4.980910571676587,-4.980910571676587,-4.980910571676587,-4.980910571676587,-4.980910571676587,-4.980910571676587,-7.235104061259774,-7.235104061259774,-7.235104061259774,-7.235104061259774,-7.235104061259774,-7.235104061259774,0.04973214285714289,38.73750000000001,-13.751624419440375,0.01939732142857148,0.01939732142857148,0.01939732142857148,0.01939732142857148,0.01939732142857148,0.01939732142857148,27.03125,27.03125,27.03125,27.03125,27.03125,27.03125,-20.265101953900192,-20.265101953900192,-20.265101953900192,-20.265101953900192,-20.265101953900192,-20.265101953900192
2,2000-01-27,2000,4,-0.0017812500000218279,-1.8182226562500006,-3.6374358723968276,0.0045111607142871435,0.013540773809533372,0.013540773809533372,0.013540773809533372,0.013540773809533372,0.013540773809533372,-2.368253193204364,-3.9266812665343913,-3.9266812665343913,-3.9266812665343913,-3.9266812665343913,-3.9266812665343913,-5.364882370721414,-6.035881331638792,-6.035881331638792,-6.035881331638792,-6.035881331638792,-6.035881331638792,-0.17984374999999997,40.951562499999994,9.972556133112775,-0.06505580357142854,-0.047016369047619,-0.047016369047619,-0.047016369047619,-0.047016369047619,-0.047016369047619,39.84453125,31.671354166666664,31.671354166666664,31.671354166666664,31.671354166666664,31.671354166666664,-1.8895341431638002,-10.185882591562537,-10.185882591562537,-10.185882591562537,-10.185882591562537,-10.185882591562537
3,2000-02-04,2000,5,-0.03938749999997526,-5.58305217013889,-5.590126822915294,-0.020584374999998545,0.0003087053571562137,0.0003087053571562137,0.0003087053571562137,0.0003087053571562137,0.0003087053571562137,-3.7006374131944453,-4.3407739924355155,-4.3407739924355155,-4.3407739924355155,-4.3407739924355155,-4.3407739924355155,-4.613781347656061,-5.924442704457918,-5.924442704457918,-5.924442704457918,-5.924442704457918,-5.924442704457918,-0.4253750000000001,8.527500000000003,-19.42433023325401,-0.30260937500000007,-0.14160602678571427,-0.14160602678571427,-0.14160602678571427,-0.14160602678571427,-0.14160602678571427,24.73953125,25.885390625,25.885390625,25.885390625,25.885390625,25.885390625,-4.725887050070618,-12.495494501985405,-12.495494501985405,-12.495494501985405,-12.495494501985405,-12.495494501985405
4,2000-02-12,2000,6,-0.03048749999999245,-4.600016493055556,-4.0906414930567445,-0.034937499999983856,-0.005850535714273519,-0.005850535714273519,-0.005850535714273519,-0.005850535714273519,-0.005850535714273519,-5.091534331597223,-4.392622492559523,-4.392622492559523,-4.392622492559523,-4.392622492559523,-4.392622492559523,-4.840384157986019,-5.557682462177683,-5.557682462177683,-5.557682462177683,-5.557682462177683,-5.557682462177683,-0.46775,-10.973749999999995,-18.373267479136246,-0.4465625000000001,-0.2068348214285714,-0.2068348214285714,-0.2068348214285714,-0.2068348214285714,-0.2068348214285714,-1.223124999999996,18.5135625,18.5135625,18.5135625,18.5135625,18.5135625,-18.89879885619513,-13.671049097415573,-13.671049097415573,-13.671049097415573,-13.671049097415573,-13.671049097415573
5,2000-02-20,2000,7,-0.0752187500000332,-13.450449327256944,-16.598669813365994,-0.052853125000012824,-0.027214285714285323,-0.017411904761900132,-0.017411904761900132,-0.017411904761900132,-0.017411904761900132,-9.02523291015625,-5.674004875372023,-5.902260298342426,-5.902260298342426,-5.902260298342426,-5.902260298342426,-10.344655653211369,-7.401840574156172,-7.397847020709068,-7.397847020709068,-7.397847020709068,-7.397847020709068,-0.6415624999999999,-86.58906250000001,-89.6232074241687,-0.55465625,-0.33295982142857145,-0.2792894345238095,-0.2792894345238095,-0.2792894345238095,-0.2792894345238095,-48.78140625,-1.8692499999999996,0.9964583333333318,0.9964583333333318,0.9964583333333318,0.9964583333333318,-53.99823745165247,-26.239974684577312,-26.329742151874427,-26.329742151874427,-26.329742151874427,-26.329742151874427
6,2000-02-28,2000,9,-0.040937499999984084,-4.578011024305559,-6.2405544270862485,-0.05807812500000864,-0.037562500000001366,-0.02077270408162641,-0.02077270408162641,-0.02077270408162641,-0.02077270408162641,-9.014230175781252,-6.00595033420139,-5.713081830622874,-5.713081830622874,-5.713081830622874,-5.713081830622874,-11.419612120226121,-7.231485685764222,-7.23251950733438,-7.23251950733438,-7.23251950733438,-7.23251950733438,-0.5297499999999999,-25.91500000000002,-42.98545782340453,-0.58565625,-0.44885625000000007,-0.3150695153061224,-0.3150695153061224,-0.3150695153061224,-0.3150695153061224,-56.252031250000016,-14.799750000000007,-2.8480357142857184,-2.8480357142857184,-2.8480357142857184,-2.8480357142857184,-66.30433262378662,-32.086741365370145,-28.70913010495016,-28.70913010495016,-28.70913010495016,-28.70913010495016
7,2000-03-07,2000,10,-0.07723749999996699,-7.667417534722223,-10.115247395833762,-0.059087499999975535,-0.052653749999990396,-0.027830803571418983,-0.027830803571418983,-0.027830803571418983,-0.027830803571418983,-6.122714279513891,-7.175789309895835,-5.957373793635293,-5.957373793635293,-5.957373793635293,-5.957373793635293,-8.177900911460005,-8.52704799045161,-7.5928604933968025,-7.5928604933968025,-7.5928604933968025,-7.5928604933968025,-0.5817499999999999,-47.587500000000006,-59.42880211549972,-0.55575,-0.5292375,-0.34840457589285717,-0.34840457589285717,-0.34840457589285717,-0.34840457589285717,-36.75125000000001,-32.507562500000006,-8.440468750000004,-8.440468750000004,-8.440468750000004,-8.440468750000004,-51.207129969452126,-45.96701301509264,-32.54908910626885,-32.54908910626885,-32.54908910626885,-32.54908910626885
8,2000-03-15,2000,11,-0.11401785714286916,-10.957107390873018,-12.09915848213998,-0.09562767857141807,-0.06757982142856918,-0.03740714285713567,-0.03740714285713567,-0.03740714285713567,-0.03740714285713567,-9.312262462797621,-8.25060035404266,-6.512899748883929,-6.512899748883929,-6.512899748883929,-6.512899748883929,-11.107202938986871,-9.828854322296547,-8.093560269923822,-8.093560269923822,-8.093560269923822,-8.093560269923822,-0.6080357142857142,-62.74642857142857,-63.45818857294181,-0.5948928571428571,-0.5657696428571428,-0.3772524801587302,-0.3772524801587302,-0.3772524801587302,-0.3772524801587302,-55.166964285714286,-46.76234821428572,-14.474464285714289,-14.474464285714289,-14.474464285714289,-14.474464285714289,-61.443495344220764,-54.7737846830302,-35.98343349145474,-35.98343349145474,-35.98343349145474,-35.98343349145474
9,2000-03-23,2000,12,-0.12471874999999955,-5.383719835069445,-7.435369140628263,-0.11936830357143435,-0.08642607142857059,-0.05477589285713849,-0.046138303571422054,-0.046138303571422054,-0.046138303571422054,-8.170413612971231,-8.407341022445438,-6.328475573536707,-6.399981757502481,-6.399981757502481,-6.399981757502481,-9.767263811384122,-10.49779985181085,-8.099948035163235,-8.027741156994267,-8.027741156994267,-8.027741156994267,-0.5690625,-44.54374999999999,-40.68564232984383,-0.5885491071428571,-0.5860321428571428,-0.43926636904761907,-0.3964334821428571,-0.3964334821428571,-0.3964334821428571,-53.64508928571428,-53.476348214285714,-21.12654761904762,-17.481392857142858,-17.481392857142858,-17.481392857142858,-52.07191545139282,-59.236259653171714,-37.52866269606405,-36.45365437529365,-36.45365437529365,-36.45365437529365
