date,y,x,year,week,cyclostationary_mean_HS,cyclostationary_mean_HS_1w,cyclostationary_mean_HS_4w,cyclostationary_mean_HS_8w,cyclostationary_mean_HS_12w,cyclostationary_mean_HS_16w,cyclostationary_mean_HS_24w,cyclostationary_mean_HS_46w
2000-01-11,46.5,8.5,2000,2,-0.0113705695,-0.0113705695,-0.0113705695,-0.0113705695,-0.0113705695,-0.0113705695,-0.0113705695,-0.0113705695
2000-01-11,46.5,8.75,2000,2,-0.013762966,-0.013762966,-0.013762966,-0.013762966,-0.013762966,-0.013762966,-0.013762966,-0.013762966
2000-01-11,46.5,9.0,2000,2,-0.018804088,-0.018804088,-0.018804088,-0.018804088,-0.018804088,-0.018804088,-0.018804088,-0.018804088
2000-01-11,46.25,8.0,2000,2,0.021116912,0.021116912,0.021116912,0.021116912,0.021116912,0.021116912,0.021116912,0.021116912
2000-01-11,46.25,8.25,2000,2,-0.022918835,-0.022918835,-0.022918835,-0.022918835,-0.022918835,-0.022918835,-0.022918835,-0.022918835
2000-01-11,46.25,8.5,2000,2,-0.04793963,-0.04793963,-0.04793963,-0.04793963,-0.04793963,-0.04793963,-0.04793963,-0.04793963
2000-01-11,46.25,8.75,2000,2,-0.0510007,-0.0510007,-0.0510007,-0.0510007,-0.0510007,-0.0510007,-0.0510007,-0.0510007
2000-01-11,46.25,9.0,2000,2,-0.031940468,-0.031940468,-0.031940468,-0.031940468,-0.031940468,-0.031940468,-0.031940468,-0.031940468
2000-01-11,46.0,8.0,2000,2,0.012324646,0.012324646,0.012324646,0.012324646,0.012324646,0.012324646,0.012324646,0.012324646
2000-01-11,46.0,8.25,2000,2,-0.033547655,-0.033547655,-0.033547655,-0.033547655,-0.033547655,-0.033547655,-0.033547655,-0.033547655
2000-01-11,46.0,8.5,2000,2,-0.011370309,-0.011370309,-0.011370309,-0.011370309,-0.011370309,-0.011370309,-0.011370309,-0.011370309
2000-01-19,46.5,8.5,2000,3,-0.020144373,-0.015757471250000002,-0.015757471250000002,-0.015757471250000002,-0.015757471250000002,-0.015757471250000002,-0.015757471250000002,-0.015757471250000002
2000-01-19,46.5,8.75,2000,3,-0.027531207,-0.020647086499999998,-0.020647086499999998,-0.020647086499999998,-0.020647086499999998,-0.020647086499999998,-0.020647086499999998,-0.020647086499999998
2000-01-19,46.5,9.0,2000,3,-0.040253654,-0.029528870999999998,-0.029528870999999998,-0.029528870999999998,-0.029528870999999998,-0.029528870999999998,-0.029528870999999998,-0.029528870999999998
2000-01-19,46.25,8.0,2000,3,0.0028384924,0.0119777022,0.0119777022,0.0119777022,0.0119777022,0.0119777022,0.0119777022,0.0119777022
2000-01-19,46.25,8.25,2000,3,-0.048719466,-0.0358191505,-0.0358191505,-0.0358191505,-0.0358191505,-0.0358191505,-0.0358191505,-0.0358191505
2000-01-19,46.25,8.5,2000,3,-0.07105772,-0.059498675,-0.059498675,-0.059498675,-0.059498675,-0.059498675,-0.059498675,-0.059498675
2000-01-19,46.25,8.75,2000,3,-0.067074075,-0.059037387499999996,-0.059037387499999996,-0.059037387499999996,-0.059037387499999996,-0.059037387499999996,-0.059037387499999996,-0.059037387499999996
2000-01-19,46.25,9.0,2000,3,-0.03957416,-0.035757314,-0.035757314,-0.035757314,-0.035757314,-0.035757314,-0.035757314,-0.035757314
2000-01-19,46.0,8.0,2000,3,-0.0021747798,0.0050749331,0.0050749331,0.0050749331,0.0050749331,0.0050749331,0.0050749331,0.0050749331
2000-01-19,46.0,8.25,2000,3,-0.068391964,-0.050969809500000005,-0.050969809500000005,-0.050969809500000005,-0.050969809500000005,-0.050969809500000005,-0.050969809500000005,-0.050969809500000005
2000-01-19,46.0,8.5,2000,3,-0.020901762,-0.0161360355,-0.0161360355,-0.0161360355,-0.0161360355,-0.0161360355,-0.0161360355,-0.0161360355
2000-01-27,46.5,8.5,2000,4,0.0151170045,-0.0025136842500000003,-0.005465979333333335,-0.005465979333333335,-0.005465979333333335,-0.005465979333333335,-0.005465979333333335,-0.005465979333333335
2000-01-27,46.5,8.75,2000,4,0.014913231,-0.006308987999999999,-0.008793647333333333,-0.008793647333333333,-0.008793647333333333,-0.008793647333333333,-0.008793647333333333,-0.008793647333333333
2000-01-27,46.5,9.0,2000,4,0.01581034,-0.012221657,-0.014415800666666666,-0.014415800666666666,-0.014415800666666666,-0.014415800666666666,-0.014415800666666666,-0.014415800666666666
2000-01-27,46.25,8.0,2000,4,0.062577516,0.0327080042,0.0288443068,0.0288443068,0.0288443068,0.0288443068,0.0288443068,0.0288443068
2000-01-27,46.25,8.25,2000,4,0.011134148,-0.018792659000000003,-0.020168051000000003,-0.020168051000000003,-0.020168051000000003,-0.020168051000000003,-0.020168051000000003,-0.020168051000000003
2000-01-27,46.25,8.5,2000,4,-0.021003053,-0.046030386500000006,-0.046666801,-0.046666801,-0.046666801,-0.046666801,-0.046666801,-0.046666801
2000-01-27,46.25,8.75,2000,4,-0.025871716,-0.0464728955,-0.04798216366666666,-0.04798216366666666,-0.04798216366666666,-0.04798216366666666,-0.04798216366666666,-0.04798216366666666
2000-01-27,46.25,9.0,2000,4,-0.0023240447,-0.02094910235,-0.0246128909,-0.0246128909,-0.0246128909,-0.0246128909,-0.0246128909,-0.0246128909
2000-01-27,46.0,8.0,2000,4,0.040101677,0.018963448600000002,0.0167505144,0.0167505144,0.0167505144,0.0167505144,0.0167505144,0.0167505144
2000-01-27,46.0,8.25,2000,4,-0.011125922,-0.039758943,-0.037688513666666666,-0.037688513666666666,-0.037688513666666666,-0.037688513666666666,-0.037688513666666666,-0.037688513666666666
2000-01-27,46.0,8.5,2000,4,-0.00050828606,-0.010705024030000001,-0.010926785686666668,-0.010926785686666668,-0.010926785686666668,-0.010926785686666668,-0.010926785686666668,-0.010926785686666668
2000-02-04,46.5,8.5,2000,5,0.012106001,0.01361150275,-0.001072984250000001,-0.001072984250000001,-0.001072984250000001,-0.001072984250000001,-0.001072984250000001,-0.001072984250000001
2000-02-04,46.5,8.75,2000,5,0.0050001144,0.0099566727,-0.0053452069,-0.0053452069,-0.0053452069,-0.0053452069,-0.0053452069,-0.0053452069
2000-02-04,46.5,9.0,2000,5,-0.005273655,0.005268342499999999,-0.01213026425,-0.01213026425,-0.01213026425,-0.01213026425,-0.01213026425,-0.01213026425
2000-02-04,46.25,8.0,2000,5,0.044537053,0.053557284499999996,0.03276749335,0.03276749335,0.03276749335,0.03276749335,0.03276749335,0.03276749335
2000-02-04,46.25,8.25,2000,5,-0.0069748163,0.00207966585,-0.016869742325000003,-0.016869742325000003,-0.016869742325000003,-0.016869742325000003,-0.016869742325000003,-0.016869742325000003
2000-02-04,46.25,8.5,2000,5,-0.063700154,-0.0423516035,-0.05092513925,-0.05092513925,-0.05092513925,-0.05092513925,-0.05092513925,-0.05092513925
2000-02-04,46.25,8.75,2000,5,-0.07950683,-0.052689273,-0.055863330249999996,-0.055863330249999996,-0.055863330249999996,-0.055863330249999996,-0.055863330249999996,-0.055863330249999996
